"nombre","EL ENCANTO","LA CHORRERA","LA PEDRERA","LA VICTORIA","LETICIA","MIRITI PARANA","PUERTO ALEGRIA","PUERTO ARICA","PUERTO NARIÃO","PUERTO SANTANDER","TARAPACA"
"PARTIDO LIBERAL COLOMBIANO",48,141,217,1,3942,30,50,63,595,29,209
"SOLO LISTA PARTIDO LIBERAL COLOMBIANO",2,7,5,0,277,1,24,1,53,6,16
"VICTOR HUGO MORENO BANDEIRA",35,52,60,1,1521,6,20,4,197,13,62
"EDUAR LUIS BENJUMEA MORENO",10,81,144,0,1848,21,6,56,282,8,130
"ALEJANDRO CALVACHE BABILONIA",1,1,8,0,296,2,0,2,63,2,1
"PARTIDO CAMBIO RADICAL",47,229,212,1,3261,79,29,58,541,131,187
"SOLO LISTA PARTIDO CAMBIO RADICAL",2,6,2,0,257,1,14,4,37,10,13
"MANUEL ANTONIO CAREBILLA CUELLAR",31,185,205,1,2205,67,8,18,460,115,139
"JHICEL BENJUMEA ACOSTA",13,36,4,0,505,8,7,36,23,4,31
"LUIS ANGEL PANTEVIS",1,2,1,0,294,3,0,0,21,2,4
"PARTIDO OPCION CIUDADANA",44,142,23,1,3790,9,1,55,732,35,214
"SOLO LISTA PARTIDO OPCION CIUDADANA",0,3,0,0,259,0,0,4,45,3,13
"RAFAEL ELIZALDE GOMEZ",41,120,15,1,2644,8,1,48,141,29,194
"HUGO ALBERTO PEREZ ARAUJO",2,13,4,0,729,0,0,0,37,0,1
"JOSE ALBERTO LOZADA PINEDO",1,6,4,0,158,1,0,3,509,3,6
"PARTIDO ALIANZA VERDE",24,32,7,1,749,5,6,6,44,36,1
"SOLO LISTA PARTIDO ALIANZA VERDE",6,4,3,0,108,0,3,4,15,7,0
"HAROLD PIERR RENGIFO VARGAS",15,18,1,0,179,3,3,2,11,24,1
"RAMIRO MOORE PANTOJA",3,10,2,0,139,1,0,0,16,3,0
"RAFAEL ENRIQUE CLAVIJO PARDO",0,0,1,1,323,1,0,0,2,2,0
"MOVIMIENTO "" MIRA """,2,4,2,0,237,0,2,4,8,3,1
"SOLO LISTA MOVIMIENTO "" MIRA """,1,2,1,0,70,0,0,1,4,0,1
"ALVARO MUÃOZ PINTO",1,2,1,0,167,0,2,3,4,3,0
"PARTIDO DE LA U",1,2,2,0,440,0,0,2,42,1,6
"SOLO LISTA PARTIDO DE LA U",0,0,1,0,102,0,0,0,13,0,2
"JOSE ANTONIO DO SANTOS PINTO",1,1,1,0,242,0,0,1,17,0,2
"MANUEL CABRERA OLIVEIRA",0,0,0,0,36,0,0,1,10,1,2
"RAFAEL MORENO GODOY",0,1,0,0,60,0,0,0,2,0,0
"CENTRO DEMOCRÃTICO MANO FIRME CORAZÃN GRANDE",1,68,2,2,1265,0,0,9,55,3,27
"SOLO LISTA CENTRO DEMOCRÃTICO MANO FIRME CORAZÃN GRANDE",1,68,2,2,1265,0,0,9,55,3,27
"JOSE HUBER ARAUJO NIETO",0,0,0,0,0,0,0,0,0,0,0
"GLORIA ELENA REVELO CASTILLO",0,0,0,0,0,0,0,0,0,0,0
"ROMERO AMIA WILCHES",0,0,0,0,0,0,0,0,0,0,0
