"nombre","ARAUCA","ARAUQUITA","CRAVO NORTE","FORTUL","PUERTO RONDON","SARAVENA","TAME"
"PARTIDO DE LA U",11053,4205,1085,656,1165,3490,3452
"SOLO LISTA PARTIDO DE LA U",789,304,38,70,44,396,274
"ALBEIRO VANEGAS OSORIO",5403,1243,602,251,628,1638,2043
"HERNANDO POSSO PARALES",3954,2172,431,256,470,1240,1046
"JOSE FRANCISCO VARGAS DIAZ",907,486,14,79,23,216,89
"PARTIDO LIBERAL COLOMBIANO",6929,1656,56,1344,157,2754,5479
"SOLO LISTA PARTIDO LIBERAL COLOMBIANO",550,176,0,164,11,346,492
"PEDRO JESUS ORJUELA GOMEZ",5104,301,41,60,52,573,1010
"NEVARDO ENEIRO RINCON VERGARA",1069,262,15,231,92,700,3663
"EDUARDO ALONSO RAMIREZ RINCON",206,917,0,889,2,1135,314
"PARTIDO CAMBIO RADICAL",3683,530,228,114,138,555,887
"SOLO LISTA PARTIDO CAMBIO RADICAL",589,151,27,34,15,124,160
"MERCEDES RINCON ESPINEL",2798,345,192,64,116,380,685
"JAIR ALBEIRO CEDEÃO CISNEROS",296,34,9,16,7,51,42
"MOVIMIENTO "" MIRA """,1079,115,14,183,18,652,605
"SOLO LISTA MOVIMIENTO "" MIRA """,302,28,2,50,4,179,126
"KELLY YIHUMARA OSORIO",636,47,8,17,13,119,409
"BLANCA FANNY RAMIREZ GUZMAN",141,40,4,116,1,354,70
"PARTIDO UNION PATRIOTICA ""UP""",832,2457,45,571,17,768,1086
"SOLO LISTA PARTIDO UNION PATRIOTICA ""UP""",141,295,4,114,4,100,154
"ALVARO HERNANDEZ ROMERO",352,99,9,33,6,58,57
"ORLANDO ARDILA TORRES",272,1996,32,313,6,575,247
"CAYO MARIO SEPULVEDA ESCOBAR",67,67,0,111,1,35,628
"CENTRO DEMOCRÃTICO MANO FIRME CORAZÃN GRANDE",31,6,4,6,1,18,13
"SOLO LISTA CENTRO DEMOCRÃTICO MANO FIRME CORAZÃN GRANDE",31,6,4,6,1,18,13
"MARCOS ANTONIO ATAYA SARAY",0,0,0,0,0,0,0
"JORGE GERMAN MORALES MACIAS",0,0,0,0,0,0,0
"JUAN CARLOS SANTAMARIA MARTINEZ",0,0,0,0,0,0,0
