"nombre","BARANOA","BARRANQUILLA","CAMPO DE LA CRUZ","CANDELARIA","GALAPA","JUAN DE ACOSTA","LURUACO","MALAMBO","MANATI","PALMAR DE VARELA","PIOJO","POLONUEVO","PONEDERA","PUERTO COLOMBIA","REPELON","SABANAGRANDE","SABANALARGA","SANTA LUCIA","SANTO TOMAS","SOLEDAD","SUAN","TUBARA","USIACURI"
"PARTIDO DE LA U",8313,67456,1829,938,3516,3402,3184,11010,1310,2646,300,1864,1642,6772,1939,3329,7738,1991,4384,31077,2371,1435,1971
"SOLO LISTA PARTIDO DE LA U",506,5929,406,44,308,243,242,909,63,181,27,138,181,201,326,190,607,67,454,2475,83,71,73
"ALEXANDER ELIECER VILLAR ROJAS",2745,17295,1051,65,296,167,737,1742,53,704,108,821,516,1349,721,794,894,1457,2183,10209,229,91,1176
"MARTHA PATRICIA VILLALBA HODWALKER",2443,17505,156,328,841,1048,977,5089,1029,719,121,543,445,4158,268,1580,2415,311,304,9740,272,597,473
"EDUARDO ALFONSO CRISSIEN BORRERO",2293,19333,140,456,1818,1811,1003,2819,78,953,24,249,434,814,553,627,3424,108,1292,6710,1625,615,209
"ESPERANZA JIMENEZ SILVA",178,4473,28,19,148,99,100,240,29,41,11,38,42,100,31,46,194,17,67,1118,121,27,11
"ROBERTH ENRIQUE CALDERON PEREZ",72,706,14,22,29,7,47,64,5,27,2,20,7,85,22,13,63,16,29,189,15,9,12
"MATILDE CECILIA FORERO GARCIA",50,950,21,2,30,22,69,64,49,15,3,48,15,48,13,36,102,7,28,252,21,19,13
"RAFAEL ANTONIO RODRIGUEZ ROJAS",26,1265,13,2,46,5,9,83,4,6,4,7,2,17,5,43,39,8,27,384,5,6,4
"PARTIDO CONSERVADOR COLOMBIANO",7711,135981,1591,1452,5687,4273,3099,9108,1589,4904,2049,2349,2858,2869,4049,3017,12950,1214,5093,33102,151,2779,1046
"SOLO LISTA PARTIDO CONSERVADOR COLOMBIANO",400,7746,257,45,364,211,162,699,66,299,105,148,265,104,406,140,725,78,252,2560,5,89,59
"ARMANDO ANTONIO ZABARAIN D ARCE",2777,22851,613,665,852,558,565,1534,273,1502,480,620,697,985,869,1242,6467,392,1824,6516,93,361,335
"INES CECILIA LOPEZ FLOREZ",1989,30533,124,419,2303,100,1305,4093,730,379,286,963,438,1369,2042,942,2227,254,1227,10799,7,340,161
"BETTY DEL SOCORRO ECHEVERRIA CONSUEGRA",1743,15937,395,259,881,3054,242,963,372,2466,385,423,781,228,436,418,2197,286,1434,7005,34,1783,374
"AIDA MERLANO REBOLLEDO",494,54730,132,20,1110,201,745,1500,77,139,732,108,627,81,187,155,820,173,147,5000,5,138,93
"ZONIA LEON AGUILAR",160,1876,12,22,63,24,15,164,17,63,32,29,20,42,36,64,314,19,135,578,4,19,8
"MARIO JESUS JURADO ENCISO",81,917,42,11,46,92,27,76,30,16,9,20,10,32,23,37,106,3,22,291,2,9,1
"BLAS ALBERTO AHUMADA BARRAZA",67,1391,16,11,68,33,38,79,24,40,20,38,20,28,50,19,94,9,52,353,1,40,15
"PARTIDO CAMBIO RADICAL",7604,68612,2311,2339,3743,1933,4875,9745,1666,1556,628,1810,3755,2643,1952,2881,6298,840,3135,21037,1238,934,921
"SOLO LISTA PARTIDO CAMBIO RADICAL",438,5005,429,86,265,94,305,770,82,93,42,111,269,108,183,176,405,61,229,1707,68,40,51
"LUIS EDUARDO DIAZ GRANADOS TORRES",4389,24013,1358,883,2286,1032,2781,4431,103,541,268,908,2668,1400,913,1428,2806,239,1425,6595,887,413,536
"MODESTO ENRIQUE AGUILERA VIDES",1417,18104,248,457,856,703,1375,1645,1276,428,215,414,565,655,298,616,2163,161,250,8568,212,323,31
"JUAN JOSE JARAMILLO BUITRAGO",1000,14978,87,798,146,57,245,571,116,268,19,222,149,315,421,414,519,334,236,2128,43,123,266
"EMILIA CARMEN FONTALVO FONTALVO",144,1658,73,25,34,10,21,1764,10,140,68,35,14,10,18,107,164,15,922,480,5,1,3
"EVERST JUVENAL BOTELLO RAMOS",127,3085,29,49,99,27,83,425,58,35,5,67,53,121,67,94,144,14,48,1108,8,21,14
"DALILA DEL SOCORRO VILLARREAL JARABA",63,1076,20,35,25,5,44,66,11,13,7,28,31,21,40,19,45,4,16,246,7,10,16
"LINDA ROSA DEL CARMEN QUANT PEREZ",26,693,67,6,32,5,21,73,10,38,4,25,6,13,12,27,52,12,9,205,8,3,4
"PARTIDO LIBERAL COLOMBIANO",3134,36263,2383,1160,2129,1152,1929,2340,1409,1644,472,1323,1009,1709,2025,2927,9441,421,1827,10754,1021,727,1030
"SOLO LISTA PARTIDO LIBERAL COLOMBIANO",242,2729,333,26,151,86,126,220,72,107,41,90,142,77,245,156,610,26,140,1060,53,32,34
"ELVERTH SANTOS ROMERO",1176,9651,549,49,529,345,805,429,583,319,234,248,215,733,256,1692,3755,166,328,2734,568,98,195
"MAURICIO GOMEZ AMIN",794,12100,1163,548,980,531,698,1050,518,950,113,436,390,505,295,730,2757,85,820,3083,156,424,417
"RAMON IGNACIO CARBO LACOUTURE",501,5529,288,479,268,133,158,293,124,207,35,451,130,144,1113,139,1563,99,427,1264,215,129,85
"LAUREANO VERDEZA GARAVITO",281,3840,10,34,128,38,44,216,59,29,20,45,74,218,46,127,451,35,46,2033,10,34,275
"JOHANNA LUCIA NIÃO NIÃO",80,440,12,8,13,7,12,19,10,7,5,14,17,10,13,25,71,1,5,99,5,3,5
"LUZ MARINA ESPER FAYAD",44,1691,22,15,54,11,80,75,39,20,23,28,27,19,14,50,162,8,51,415,12,7,14
"RITA LEONOR OROZCO JULIO",16,283,6,1,6,1,6,38,4,5,1,11,14,3,43,8,72,1,10,66,2,0,5
"POLO DEMOCRATICO ALTERNATIVO",471,14993,130,70,421,81,112,526,87,180,23,104,85,200,126,163,459,28,167,3216,33,76,58
"SOLO LISTA POLO DEMOCRATICO ALTERNATIVO",60,2332,8,4,72,16,7,78,6,22,2,21,12,31,18,24,74,6,25,574,7,3,9
"NESTAR ISABEL FRANCO DE FERRER",146,4842,58,40,142,31,36,153,21,61,6,31,34,77,47,68,188,7,55,993,17,19,23
"EMMA DORIS LOPEZ RODRIGUEZ",140,2680,15,7,60,11,32,95,5,25,9,20,14,21,14,19,50,3,12,519,2,4,12
"ALFONSO DE JESUS QUINTERO",43,1711,2,4,60,6,10,72,9,11,0,13,3,36,23,12,40,2,14,429,2,29,6
"NORMAN JAVIER ALARCON RODAS",34,1343,22,12,40,12,10,49,15,39,4,11,10,9,16,10,36,5,34,307,1,18,6
"NICOLAS CASTRO OLAYA",24,650,7,1,7,1,6,26,1,11,0,1,2,9,1,12,12,2,12,131,0,0,2
"LUIS JOSE ESCORCIA LEON",16,973,0,0,30,4,5,32,4,8,1,2,10,4,2,7,41,0,10,152,0,0,0
"EDITH AURORA ACOSTA CORTES",8,462,18,2,10,0,6,21,26,3,1,5,0,13,5,11,18,3,5,111,4,3,0
"CENTRO DEMOCRÃTICO MANO FIRME CORAZÃN GRANDE",269,19329,30,60,441,74,124,764,139,102,24,57,116,287,41,152,416,38,132,3682,13,34,42
"SOLO LISTA CENTRO DEMOCRÃTICO MANO FIRME CORAZÃN GRANDE",269,19329,30,60,441,74,124,764,139,102,24,57,116,287,41,152,416,38,132,3682,13,34,42
"LUIS DIOFANTE LORDUY HERNANDEZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HUGO JOSE GREGORIO ORTIZ VELASQUEZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YANETH BELEN RIVALDO GUTIERREZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PARTIDO ALIANZA VERDE",243,7674,90,17,261,46,73,308,35,106,11,40,38,1145,57,173,346,36,86,1862,5,68,21
"SOLO LISTA PARTIDO ALIANZA VERDE",19,1377,14,4,27,15,11,44,6,17,0,6,9,49,10,16,47,4,14,347,0,10,3
"ALEXIS JOSE LEWIS MUÃOZ",60,1863,6,0,59,6,13,77,8,15,2,10,5,70,20,11,33,11,8,451,0,10,4
"HUMBERTO ALONSO ROSALES DONADO",59,1260,22,4,97,9,27,42,6,21,3,6,6,916,11,85,134,3,12,254,3,15,4
"ALICIA ROSA ROMERO ESCOBAR",59,976,39,6,23,12,7,48,8,40,4,9,9,37,11,16,28,10,20,301,0,17,2
"HECTOR AMAURY DIAZ ROMERO",23,1243,5,2,33,2,7,68,3,7,2,0,3,46,3,27,32,5,22,267,0,2,1
"AMALIA ROSA CAMPO NAVARRO",11,287,0,0,13,0,1,8,0,2,0,0,0,3,1,3,45,0,4,55,0,8,0
"CATALINA BERRIO PALOMINO",9,313,1,0,2,1,3,10,3,3,0,1,1,17,0,12,18,2,2,92,2,6,5
"GUSTAVO ADOLFO GIRALDO DIAZ GRANADOS",3,355,3,1,7,1,4,11,1,1,0,8,5,7,1,3,9,1,4,95,0,0,2
"MOVIMIENTO "" MIRA """,159,5785,31,24,167,41,59,436,23,65,16,38,79,210,76,141,153,45,75,2034,27,82,60
"SOLO LISTA MOVIMIENTO "" MIRA """,16,909,6,2,31,6,2,45,3,15,2,9,20,18,11,21,30,8,15,326,2,1,5
"HECTOR ENRIQUE PADILLA PINEDA",64,2030,10,8,64,16,30,77,4,16,4,13,26,129,18,33,52,2,20,645,3,10,22
"YOLIMA CADENA VANEGAS",29,1150,1,4,24,9,16,69,9,5,2,2,16,12,8,13,28,5,4,249,1,33,0
"CASTULO GAMEZ MALDONADO",19,515,4,7,13,5,7,151,1,10,5,5,5,13,16,10,9,4,9,145,4,7,4
"XIOMARA DE JESUS MACIAS BLANCO",14,159,1,0,2,1,1,6,1,1,0,2,2,14,1,1,3,0,0,39,0,3,1
"CESAR AUGUSTO ARDILA LOPEZ",8,614,1,3,20,2,3,52,5,5,0,6,4,17,9,4,22,1,2,211,3,3,13
"BELQUIS DENIDES OLIVEROS REYES",5,141,0,0,8,0,0,4,0,1,1,0,4,5,10,3,0,0,5,26,1,0,15
"LAUREANO GUILLERMO VILLA CORRALES",4,267,8,0,5,2,0,32,0,12,2,1,2,2,3,56,9,25,20,393,13,25,0
"PARTIDO OPCION CIUDADANA",110,3469,14,15,85,16,37,183,19,27,22,17,32,66,47,39,142,8,46,965,11,9,13
"SOLO LISTA PARTIDO OPCION CIUDADANA",10,503,4,2,18,3,4,36,3,1,2,5,0,10,13,4,32,0,6,155,1,1,3
"DEISY ESTELA AREVALO MENA",35,1258,4,9,23,4,15,48,4,11,3,5,14,31,14,12,68,2,15,408,5,3,6
"JULIO CARMELO LOPEZ CAMACHO",27,505,0,1,14,6,4,36,5,3,2,4,4,15,12,11,16,1,4,175,0,1,3
"JOSE MANUEL QUIROZ VEGA",24,173,1,0,3,1,5,3,2,0,2,0,0,2,1,5,7,0,1,36,3,2,0
"JUANA BAUTISTA MANGA MONSALVO",11,905,2,3,26,2,7,40,5,8,11,3,14,4,4,4,13,5,19,164,2,1,1
"GRACE MARIA ESCOBAR MARQUEZ",3,125,3,0,1,0,2,20,0,4,2,0,0,4,3,3,6,0,1,27,0,1,0
