"nombre","BOGOTA. D.C."
"CENTRO DEMOCRÃTICO MANO FIRME CORAZÃN GRANDE",317898
"SOLO LISTA CENTRO DEMOCRÃTICO MANO FIRME CORAZÃN GRANDE",317898
"MARIA FERNANDA CABAL MOLINA",0
"ESPERANZA MARIA PINZON DE JIMENEZ",0
"TATIANA CABELLO FLOREZ",0
"EDWARD DAVID RODRIGUEZ RODRIGUEZ",0
"SAMUEL ALEJANDRO HOYOS MEJIA",0
"LILIANA ALFONSO JAIMES",0
"PEDRO JAVIER SANTIESTEBAN MILLAN",0
"ANDRES EDUARDO FORERO MOLINA",0
"ALVARO ENRIQUE POLANIA CADENA",0
"JUAN GUILLERMO BURGOS RAMIREZ",0
"JULIA ISABEL ESCALLON SALGAR",0
"JOHN NIKYS KARAKATSIANIS BEJARANO",0
"ERIKA GIRLENA LEAL MEJIA",0
"ANDRES FELIPE SILVA LUQUE",0
"JUAN PABLO ECHEVERRY NICOLELLA",0
"LUCAS SANTIAGO REYES VERGARA",0
"MIGUEL ANDRES FIERRO PINTO",0
"PARTIDO LIBERAL COLOMBIANO",191395
"SOLO LISTA PARTIDO LIBERAL COLOMBIANO",21291
"OLGA LUCIA VELASQUEZ NIETO",23591
"CLARA LETICIA ROJAS GONZALEZ",22496
"JUAN CARLOS LOZADA VARGAS",17584
"ANDRES FELIPE VILLAMIZAR ORTIZ",17424
"DANIEL QUINTERO CALLE",16650
"LUZ MARINA GORDILLO SALINAS",16515
"JUAN DE DIOS ARIAS LOPEZ",11616
"BEATRIZ LORENA RIOS CUELLAR",8504
"JONNATHA IVONNE GONZALEZ RODRIGUEZ",5815
"BONNER AHMED MOSQUERA RAMIREZ",5658
"GALE MALLOL AGUDELO",4976
"HECTOR JAVIER GALINDO MORENO",4670
"MARIA DEL PILAR HERNANDEZ CUELLAR",4104
"ABELARDO LEON ARIAS",3011
"JORGE ENRIQUE GUERRERO RINCON",2923
"JOSE ORLANDO MORERA CRUZ",1745
"CAMILO HUMBERTO OLANO ORTIZ",1523
"JEANNE CAROLINE BONILLA DORNALETCHE",1299
"PARTIDO ALIANZA VERDE",164403
"SOLO LISTA PARTIDO ALIANZA VERDE",29417
"ANGELICA LISBETH LOZANO CORREA",30950
"ANGELA MARIA ROBLEDO GOMEZ",21457
"INTI RAUL ASPRILLA REYES",16898
"SAMIR JOSE ABISAMBRA VESGA",13039
"LOMBARDO RODRIGUEZ LOPEZ",7996
"LUIS FRANCISCO CASTAÃEDA RAVELO",6910
"OMAR RODRIGUEZ PRECIADO",6351
"EDUARDO ANDRES GARZON TORRES",6325
"DONKA ATANASSOVA IAKIMOVA",5053
"HERNAN TRUJILLO TOVAR",4648
"SONIA ELVIRA VELOZA MOGOLLON",4558
"JOSE MANUEL GARZON ARIAS",3261
"FERNANDO SALAZAR RIVEROS",1928
"HERMAN MARTINEZ GOMEZ",1573
"CLARA LUNIK GARCIA CABRALES",1212
"ANTONIO ANGULO RICARDO",1001
"LEON JOSE JARAMILLO ZULETA",923
"YESICA ANDREA ROCHA GOMEZ",903
"PARTIDO DE LA U",160103
"SOLO LISTA PARTIDO DE LA U",19968
"CARLOS ARTURO CORREA MOJICA",25160
"EFRAIN ANTONIO TORRES MONSALVO",23060
"WILSON HERNANDO GOMEZ VELASQUEZ",17095
"MARTHA ESPERANZA ORDOÃEZ VERA",12915
"FRANCISCO ALFONSO PAREJA GONZALEZ",11424
"JOSE GONZALO GUTIERREZ TRIVIÃO",10147
"JAIME ALONSO DUEÃAS PEÃARANDA",8736
"CARLOS ANDRES ZARATE PEREZ",6406
"GUSTAVO ANTONIO GARCIA FLOREZ",6285
"FLOR ELVA CARDENAS VELANDIA",3615
"CARLOS GIOVANNY CAICEDO LOZADA",2900
"ALBERTO BUENAVENTURA VITERI AGUIRRE",2881
"MARCONEL ARCILA CASTAÃEDA",2555
"ANGELA PATRICIA MUÃOZ HERRERA",1896
"LUIS CARLOS BRAY TOVAR",1748
"CATALINA RODRIGUEZ RODRIGUEZ",1407
"CAROLINA SILVA NUÃEZ",1067
"MIRIAM VANEGAS ROLDAN",838
"POLO DEMOCRATICO ALTERNATIVO",129094
"SOLO LISTA POLO DEMOCRATICO ALTERNATIVO",23411
"CARLOS GERMAN NAVAS TALERO",45386
"ALIRIO URIBE MUÃOZ",19882
"DEISY KATHERIN SILVA VASQUEZ",7814
"SERGIO DAVID FERNANDEZ GRANADOS",6065
"LILIA AVELLA BOJACA",4589
"JHON FREDY VARGAS LOZANO",4572
"TERESA SALGUERO ESPITIA",3544
"WILLIAMS REYES MORALES",2267
"NELSON EMIRO LINARES ZARATE",2063
"OSCAR ORLANDO MANRIQUE DIAZ",1797
"ALVARO PATIÃO SANCHEZ",1340
"FRANCISCO JAVIER ROA ALFONSO",1339
"JULY EVELGIN GONZALEZ VILLADIEGO",1154
"HUGO ALEJANDRO RIAÃO ANDRADE",1011
"NORMA GISELA PINZON BARRETO",790
"BIENVENIDO RUIZ MURILLO",750
"ROSA AMPARO JAIME GALLO",698
"LIDA ANGELA VANEGAS MORA",622
"PARTIDO CAMBIO RADICAL",100052
"SOLO LISTA PARTIDO CAMBIO RADICAL",100052
"RODRIGO LARA RESTREPO",0
"CARLOS ORLANDO FERREIRA PINZON",0
"HENRY CASTRO",0
"JUAN FELIPE GRILLO CARRASCO",0
"PERLA MARIA MAGDALENA PINILLOS DE LA HOZ",0
"JULIO COLLINS GOMEZ",0
"JOSE JOAQUIN OSORIO RUIZ",0
"BEATRIZ ELENA RIAÃO GARCIA",0
"CRISTHIAN FABIAN OSORIO QUINTERO",0
"LUIS CARLOS JACOBSEN APARICIO",0
"MAURICIO QUINTERO LAVERDE",0
"RAFAEL DANON SPRINTIS",0
"ADRIANA ESPERANZA RODRIGUEZ SARMIENTO",0
"MAURICIO ESTEVEZ PEDRAZA",0
"BEATRIZ HELENA OSSES NORIEGA",0
"JUAN FELIPE CARRASQUILLA SOLANO",0
"YULI ANGELICA PEREZ FIGUEROA",0
"JINETH JACQUELIN RINCON RODRIGUEZ",0
"MOVIMIENTO "" MIRA """,82805
"SOLO LISTA MOVIMIENTO "" MIRA """,17531
"CARLOS EDUARDO GUEVARA VILLABON",16045
"DANIEL ESTEBAN CAICEDO SALAZAR",7408
"JAIRO ORLANDO JARAMILLO CUBILLOS",6411
"ALVARO ORLANDO CORNEJO AYALA",4603
"DIEGO RODRIGO TORRES TAMAYO",4434
"EMIR LOPEZ PIZA",4150
"MAURICIO FERNANDEZ BUENO",3850
"MANUEL DE JESUS ALVAREZ VASCO",2700
"MARIA ISABEL SEPULVEDA VELANDIA",2478
"RITO ORLANDO PALACIOS NIÃO",1892
"ROSARIO PASCUAS AGUILERA",1882
"BLANCA NIBIA RODRIGUEZ",1708
"LUIS HERNANDO ORTIZ BELLO",1612
"HILDA MARIA SANCHEZ MARTINEZ",1330
"HERSON MAURICIO OCHOA OCHOA",1294
"MARIA DEL PILAR NARANJO TELLEZ",1258
