"nombre","ACHI","ALTOS DEL ROSARIO","ARENAL","ARJONA","ARROYO HONDO","BARRANCO DE LOBA","CALAMAR","CANTAGALLO","CARTAGENA","CICUCO","CLEMENCIA","CORDOBA","EL CARMEN DE BOLIVAR","EL GUAMO","EL PEÃON","HATILLO DE LOBA","MAGANGUE","MAHATES","MARGARITA","MARIA LA BAJA","MOMPOS","MONTECRISTO","MORALES","NOROSI","PINILLOS","REGIDOR","RIOVIEJO","SAN CRISTOBAL","SAN ESTANISLAO","SAN FERNANDO","SAN JACINTO","SAN JACINTO DEL CAUCA","SAN JUAN NEPOMUCENO","SAN MARTIN DE LOBA","SAN PABLO","SANTA CATALINA","SANTA ROSA","SANTA ROSA DEL SUR","SIMITI","SOPLAVIENTO","TALAIGUA NUEVO","TIQUISIO (PTO. RICO)","TURBACO","TURBANA","VILLANUEVA","ZAMBRANO"
"PARTIDO CAMBIO RADICAL",2804,807,318,3434,902,672,1793,246,30913,1378,848,3537,2815,1815,1100,821,13638,859,859,2609,3642,1454,2122,261,911,152,419,443,1636,1678,1365,577,3142,1031,1573,922,1039,1512,983,597,1121,1230,1977,661,1586,2111
"SOLO LISTA PARTIDO CAMBIO RADICAL",221,40,23,392,36,64,189,35,3681,116,71,166,307,61,121,32,914,109,25,423,313,149,361,72,63,14,31,33,163,111,193,69,282,85,171,69,169,222,63,60,75,74,155,39,191,257
"HERNANDO JOSE PADAUI ALVAREZ",1790,155,223,1715,747,42,564,103,10208,878,476,2434,1524,1625,110,594,5751,384,40,1145,1277,747,1386,115,551,27,364,229,793,1302,416,186,2058,656,407,416,399,420,509,212,324,317,1008,65,265,878
"KAREN VIOLETTE CURE CORCIONE",601,569,32,575,82,438,898,66,10116,297,192,725,456,53,836,121,5866,221,751,656,1882,471,248,53,237,87,12,139,500,210,620,237,596,105,764,332,258,590,253,128,671,710,380,397,795,845
"IDALIA DEL CARMEN BUSTAMANTE ACOSTA",109,7,14,156,11,18,32,12,886,26,27,50,125,30,7,27,140,25,2,100,31,25,60,2,14,3,3,5,36,29,35,19,48,12,77,18,42,49,21,15,5,38,100,31,45,28
"ALFONSO ENRIQUE ANAYA LORDUY",34,6,24,351,4,48,55,9,3076,25,51,63,253,13,13,5,439,49,19,121,35,22,59,5,20,11,3,21,46,19,36,50,71,82,66,50,56,9,92,25,25,41,69,26,158,57
"JESUS GABRIEL MESTRE ESTRADA",33,11,1,102,16,12,36,4,1002,16,13,23,69,27,6,15,131,50,12,44,49,23,3,3,22,5,5,7,49,3,29,11,61,7,39,11,97,6,6,11,13,26,206,47,106,29
"HERNANDO JOSE MUNERA CAVADIA",16,19,1,143,6,50,19,17,1944,20,18,76,81,6,7,27,397,21,10,120,55,17,5,11,4,5,1,9,49,4,36,5,26,84,49,26,18,216,39,146,8,24,59,56,26,17
"PARTIDO DE LA U",2556,852,917,4249,1154,1458,3302,312,40177,1235,2094,373,6574,1072,153,1736,5489,1592,1448,1917,5982,587,552,594,4189,1068,1635,1080,1835,1349,4076,203,6561,1855,2078,2102,1092,1292,993,2410,1941,2244,1933,1324,1567,290
"SOLO LISTA PARTIDO DE LA U",184,35,50,522,231,152,198,28,5116,122,176,41,723,47,14,51,556,177,48,299,470,92,49,71,184,82,256,25,183,152,395,25,509,156,199,155,184,124,78,115,99,177,184,141,218,42
