"nombre","ALMEIDA","AQUITANIA (PUEBLOVIEJO)","ARCABUCO","BELEN","BERBEO","BETEITIVA","BOAVITA","BOYACA","BRICEÃO","BUENAVISTA","BUSBANZA","CALDAS","CAMPOHERMOSO","CERINZA","CHINAVITA","CHIQUINQUIRA","CHIQUIZA","CHISCAS","CHITA","CHITARAQUE","CHIVATA","CHIVOR","CIENEGA","COMBITA","COPER","CORRALES","COVARACHIA","CUBARA","CUCAITA","CUITIVA","DUITAMA","EL COCUY","EL ESPINO","FIRAVITOBA","FLORESTA","GACHANTIVA","GAMEZA","GARAGOA","GUACAMAYAS","GUATEQUE","GUAYATA","GUICAN","IZA","JENESANO","JERICO","LA CAPILLA","LA UVITA","LA VICTORIA","LABRANZAGRANDE","MACANAL","MARIPI","MIRAFLORES","MONGUA","MONGUI","MONIQUIRA","MOTAVITA","MUZO","NOBSA","NUEVO COLON","OICATA","OTANCHE","PACHAVITA","PAEZ","PAIPA","PAJARITO","PANQUEBA","PAUNA","PAYA","PAZ DE RIO","PESCA","PISBA","PUERTO BOYACA","QUIPAMA","RAMIRIQUI","RAQUIRA","RONDON","SABOYA","SACHICA","SAMACA","SAN EDUARDO","SAN JOSE DE PARE","SAN LUIS DE GACENO","SAN MATEO","SAN MIGUEL DE SEMA","SAN PABLO DE BORBUR","SANTA MARIA","SANTA ROSA DE VITERBO","SANTA SOFIA","SANTANA","SATIVANORTE","SATIVASUR","SIACHOQUE","SOATA","SOCHA","SOCOTA","SOGAMOSO","SOMONDOCO","SORA","SORACA","SOTAQUIRA","SUSACON","SUTAMARCHAN","SUTATENZA","TASCO","TENZA","TIBANA","TIBASOSA","TINJACA","TIPACOQUE","TOCA","TOGUI","TOPAGA","TOTA","TUNJA","TUNUNGUA","TURMEQUE","TUTA","TUTAZA","UMBITA","VENTAQUEMADA","VILLA DE LEIVA","VIRACACHA","ZETAQUIRA"
"PARTIDO DE LA U",256,998,464,472,107,284,113,458,290,729,33,236,345,457,84,2796,519,88,417,712,101,27,49,974,378,65,451,62,344,282,6326,90,128,384,428,64,285,752,45,425,75,127,255,194,409,230,86,268,632,440,111,1026,258,271,1532,669,625,1472,525,154,1159,47,278,1225,275,10,927,116,158,381,149,1686,380,201,239,154,394,673,4322,175,308,431,89,112,857,225,492,116,433,492,192,357,1107,227,832,10257,41,398,348,262,294,1014,66,467,80,162,870,229,541,319,141,223,297,6138,332,238,267,221,255,504,1131,100,426
"SOLO LISTA PARTIDO DE LA U",16,78,31,15,3,21,10,42,14,47,5,14,55,34,9,137,19,6,69,60,3,4,4,46,21,1,52,2,9,14,231,14,21,36,19,8,15,83,1,42,9,20,36,39,49,26,8,46,41,46,18,87,35,12,118,30,52,40,25,11,103,11,29,58,33,5,73,9,9,18,12,267,49,33,27,10,46,30,140,12,22,50,16,12,81,39,33,9,46,74,2,20,76,23,81,442,10,31,17,18,16,46,17,22,23,41,81,16,42,46,13,6,16,224,27,36,15,65,18,51,71,10,33
"JAIRO ENRIQUE CASTIBLANCO PARRA",186,79,346,41,63,6,10,188,48,164,12,118,118,19,4,1295,191,21,155,321,24,6,5,133,52,21,272,12,178,33,652,46,34,62,225,28,54,481,12,208,9,50,99,12,318,2,18,98,31,344,55,512,37,157,697,277,88,294,33,5,80,16,187,429,70,4,38,15,56,99,124,114,46,47,156,13,177,387,4063,64,149,264,41,17,108,29,126,45,124,10,7,70,75,90,359,1458,10,146,32,34,12,332,16,64,18,11,86,92,342,40,35,66,15,1651,27,8,21,6,130,162,480,6,355
"CRISTOBAL RODRIGUEZ HERNANDEZ",22,317,19,105,12,47,29,14,28,333,8,6,147,95,51,313,92,51,137,136,27,6,13,50,17,29,106,5,120,217,1733,2,23,232,121,13,77,74,27,84,3,48,69,30,19,71,26,4,485,31,12,318,131,79,523,167,10,854,202,73,238,15,27,186,140,1,33,74,66,160,5,509,4,79,30,51,15,189,23,23,14,72,15,29,46,129,138,8,18,47,133,54,322,73,170,6498,6,157,181,35,85,532,5,338,26,23,180,63,94,52,40,99,250,1576,2,175,54,88,76,156,49,13,14
"RODRIGO ARTURO ROJAS LARA",22,485,36,292,23,207,42,199,179,145,4,40,12,301,10,586,165,4,41,159,33,2,17,703,256,6,8,26,13,9,3436,20,44,36,59,9,113,44,1,57,42,6,44,63,16,124,27,110,7,3,15,58,38,12,134,154,401,233,248,51,698,3,28,480,23,0,223,16,17,86,4,584,236,25,13,76,91,42,44,68,117,17,2,38,578,7,172,46,217,343,47,185,593,29,196,1478,10,49,89,160,167,77,9,26,7,19,442,35,48,84,48,41,4,2191,267,9,144,52,18,83,475,59,8
"IRMA EDILSA CARO DE PULIDO",8,33,27,11,2,2,5,12,14,26,2,38,6,5,7,414,16,3,6,27,11,6,3,26,21,7,7,16,14,6,199,3,1,11,3,6,17,44,2,19,6,0,6,26,5,1,3,0,5,11,6,40,13,8,18,22,64,23,13,11,23,0,7,30,5,0,546,1,8,9,2,133,35,12,7,2,45,11,9,7,4,19,5,12,32,17,16,2,15,6,2,16,26,9,24,256,3,7,15,8,11,16,18,13,5,50,18,17,11,67,4,8,11,315,6,5,28,8,11,41,25,2,10
"JUDDY ALEXANDRA JIMENEZ CUADROS",2,5,3,4,3,1,10,2,5,5,0,20,6,1,2,26,26,2,7,3,1,3,7,11,9,1,2,0,4,2,49,3,4,5,1,0,6,21,1,10,5,3,1,14,1,5,4,7,60,3,3,5,2,2,27,9,5,15,4,2,9,1,0,24,4,0,4,0,1,6,1,59,7,3,4,0,16,7,35,0,1,3,10,3,5,4,1,4,12,9,0,6,5,2,0,63,2,3,11,2,1,11,1,4,1,0,54,4,2,1,0,2,0,136,1,0,4,1,1,6,19,7,5
"MIGUEL ARTURO RODRIGUEZ MONROY",0,1,2,4,1,0,7,1,2,9,2,0,1,2,1,25,10,1,2,6,2,0,0,5,2,0,4,1,6,1,26,2,1,2,0,0,3,5,1,5,1,0,0,10,1,1,0,3,3,2,2,6,2,1,15,10,5,13,0,1,8,1,0,18,0,0,10,1,1,3,1,20,3,2,2,2,4,7,8,1,1,6,0,1,7,0,6,2,1,3,1,6,10,1,2,62,0,5,3,5,2,0,0,0,0,18,9,2,2,29,1,1,1,45,2,5,1,1,1,5,12,3,1
"PARTIDO CONSERVADOR COLOMBIANO",167,1212,158,529,10,73,1000,72,174,240,275,133,306,437,764,1253,49,10,786,69,287,247,418,372,129,666,53,183,274,164,3433,198,256,700,554,155,676,1693,92,246,686,134,188,124,445,308,267,21,356,331,414,58,744,216,863,84,688,438,139,231,322,280,72,831,8,45,773,446,241,787,282,346,211,387,258,474,606,60,91,79,367,513,180,185,308,275,990,445,781,50,41,401,646,386,316,2373,278,328,172,307,735,197,859,203,285,267,936,218,37,146,254,665,170,4604,40,116,774,71,890,560,147,165,126
"SOLO LISTA PARTIDO CONSERVADOR COLOMBIANO",14,161,15,36,1,6,139,11,16,36,7,19,30,42,41,120,6,2,57,8,33,20,29,26,21,24,7,21,12,13,193,29,30,72,18,21,38,105,7,25,75,18,23,12,51,29,33,2,20,29,38,10,37,3,107,5,93,16,12,12,39,25,9,79,0,4,78,18,27,63,10,77,44,41,22,13,117,2,4,3,42,30,19,23,22,33,61,33,57,9,2,30,57,31,40,174,27,19,20,21,54,9,57,8,41,47,149,23,1,13,30,36,22,255,0,4,55,11,77,64,19,27,7
"HUMPHREY ROA SARMIENTO",136,432,24,159,0,16,507,35,112,67,42,93,65,182,657,547,10,2,164,28,63,174,37,189,82,328,18,37,131,100,1282,28,14,151,124,37,173,1162,16,162,329,57,60,64,26,50,56,15,35,219,27,19,399,130,184,22,377,103,45,65,34,230,41,424,2,17,451,141,182,245,109,146,111,145,111,95,182,36,38,66,223,178,2,120,17,177,536,245,46,7,2,38,336,137,231,643,186,129,96,53,521,79,740,134,186,205,393,49,15,55,71,128,38,2351,27,74,171,30,477,197,35,23,15
"NINI JOHANA GUTIERREZ GUERRERO",8,50,25,10,1,3,15,5,10,12,2,0,10,9,5,81,16,2,25,15,8,11,11,8,4,6,7,6,9,6,144,7,10,21,9,34,8,65,9,10,19,10,5,3,21,8,8,2,3,17,38,4,11,18,306,14,39,7,12,3,9,3,2,76,1,9,32,2,4,93,5,24,7,34,15,8,55,8,22,3,25,12,11,8,16,2,50,55,15,17,16,35,16,13,14,111,1,17,6,13,9,31,17,2,20,2,43,51,3,6,75,5,18,232,1,4,24,1,48,54,17,5,7
"GUSTAVO HERNAN PUENTES DIAZ",6,463,72,279,4,36,131,20,14,107,208,15,194,171,51,352,5,1,416,12,161,30,286,101,7,299,17,99,108,35,1077,53,93,382,388,52,412,271,47,18,170,41,79,32,341,201,146,2,296,52,301,18,266,53,229,13,71,278,55,128,190,20,17,84,3,6,182,281,19,308,154,35,16,126,82,340,221,9,18,2,18,276,118,17,197,45,275,82,643,2,17,220,127,182,22,1175,42,162,24,86,130,42,15,54,18,2,267,74,9,54,68,479,89,1065,11,29,494,18,227,223,46,96,79
"ALBA LUZ GONZALEZ MARTINEZ",3,66,4,10,0,11,80,1,4,14,3,2,3,13,6,39,2,0,9,0,6,0,11,25,8,2,1,2,5,3,505,4,3,8,10,8,29,10,1,22,10,1,6,1,2,13,4,0,0,6,3,1,14,5,10,23,80,10,12,6,39,0,3,58,1,0,12,2,1,16,2,10,11,28,21,8,10,0,4,3,57,8,4,9,51,13,44,4,16,7,1,63,60,12,6,89,9,0,8,14,10,4,20,1,4,2,30,14,0,3,5,5,0,211,1,1,8,6,37,11,17,3,16
"VICTOR EMILIO PEDRAZA CHAPARRO",0,25,2,20,1,0,36,0,5,3,4,1,1,15,1,59,2,0,2,3,4,4,2,14,3,5,0,8,3,6,150,9,1,14,3,2,7,14,0,3,6,0,10,4,1,2,6,0,2,3,2,0,12,6,17,2,17,7,3,6,6,1,0,28,0,1,11,2,4,7,1,17,2,6,3,4,13,1,1,2,0,7,0,2,1,3,20,16,2,3,1,5,27,7,2,136,4,0,3,5,6,1,2,3,0,1,35,0,9,3,3,10,2,159,0,2,11,5,17,6,6,3,0
"LUIS FERNANDO AVILA BLANCO",0,15,16,15,3,1,92,0,13,1,9,3,3,5,3,55,8,3,113,3,12,8,42,9,4,2,3,10,6,1,82,68,105,52,2,1,9,66,12,6,77,7,5,8,3,5,14,0,0,5,5,6,5,1,10,5,11,17,0,11,5,1,0,82,1,8,7,0,4,55,1,37,20,7,4,6,8,4,4,0,2,2,26,6,4,2,4,10,2,5,2,10,23,4,1,45,9,1,15,115,5,31,8,1,16,8,19,7,0,12,2,2,1,331,0,2,11,0,7,5,7,8,2
"PARTIDO CAMBIO RADICAL",99,364,119,123,12,75,517,40,27,226,11,32,5,86,21,690,47,142,66,110,105,46,459,428,74,21,65,101,87,173,3534,158,85,87,24,450,101,153,51,69,42,60,29,122,33,15,171,3,20,101,21,76,19,79,310,102,77,486,53,53,198,11,27,541,44,102,67,6,175,82,6,1034,54,354,614,38,294,116,116,42,36,84,656,29,68,145,180,127,253,70,27,84,292,159,37,1468,45,43,163,137,51,443,66,82,158,57,187,108,135,96,35,77,318,3683,6,32,186,38,40,79,359,94,34
"SOLO LISTA PARTIDO CAMBIO RADICAL",12,35,8,14,2,2,29,9,0,19,1,3,0,5,4,84,7,15,7,16,8,4,30,28,8,3,4,9,5,23,217,11,14,9,2,24,14,15,0,17,6,9,5,15,2,2,6,2,4,8,5,7,3,12,21,9,12,20,6,6,13,3,3,42,16,2,13,2,7,8,1,200,3,22,52,4,34,11,16,1,5,21,44,7,7,14,22,7,21,9,0,4,16,13,10,157,10,4,16,20,4,28,5,2,25,20,22,4,15,19,1,8,22,165,1,3,15,2,6,12,34,12,3
"RAFAEL ANTONIO ROJAS BENAVIDES",47,230,24,47,4,63,35,14,1,155,7,9,2,49,7,246,16,88,14,69,23,4,10,303,53,12,20,75,24,138,2621,37,17,36,12,55,16,57,26,28,15,9,16,15,14,2,7,0,7,53,2,27,9,56,61,52,16,140,7,10,93,1,4,174,21,14,17,3,56,50,1,231,21,37,84,4,116,54,21,27,13,20,3,12,14,55,109,9,68,21,24,31,178,123,15,729,6,12,34,20,29,25,20,59,5,8,113,11,94,38,9,54,238,1638,0,16,115,27,13,33,188,30,13
"WILLIAM JOSE GONZALEZ LIZARAZO",27,66,3,29,3,1,420,6,18,10,0,16,1,6,1,109,12,30,35,8,61,34,391,37,4,5,28,7,43,0,245,88,45,13,0,7,57,46,15,9,16,35,1,78,13,9,142,0,4,4,1,30,2,2,64,24,19,262,13,26,31,6,14,248,2,79,17,0,102,6,0,446,21,263,27,17,107,5,14,13,3,8,589,1,14,56,11,89,124,29,2,23,51,5,0,168,21,16,77,71,4,210,36,2,115,23,14,5,5,24,9,1,11,1298,0,2,25,3,14,15,27,36,9
"NELLY ELIZABETH BUITRAGO RAMIREZ",9,8,20,9,1,0,5,5,0,21,1,2,1,4,1,71,4,8,3,9,4,2,4,14,3,0,6,5,5,1,65,7,7,15,5,16,1,12,1,5,0,2,4,2,2,0,4,1,0,26,12,3,0,3,35,5,9,17,6,2,36,0,1,20,1,6,9,0,2,8,2,26,1,10,20,2,15,27,49,1,5,18,10,2,13,3,13,9,11,4,0,8,9,2,5,91,1,2,4,3,0,61,0,5,6,1,10,11,13,2,5,3,34,121,3,2,9,1,1,10,13,4,6
"JAVIER ADRIANO SANABRIA SUAREZ",2,16,57,10,1,0,17,0,5,16,1,0,0,4,7,99,5,1,6,3,8,2,18,12,1,1,4,2,5,10,187,1,1,10,4,344,7,7,4,2,0,5,2,6,2,2,8,0,5,8,1,6,3,6,120,8,14,34,17,7,8,0,4,34,2,0,8,1,6,6,1,38,5,13,16,10,17,10,9,0,9,7,3,0,4,8,15,5,13,3,1,5,4,5,2,203,6,6,22,11,4,86,4,12,5,2,13,4,5,6,10,10,13,243,0,7,8,3,1,7,73,8,2
"HUMBERTO ISRAEL CASTILLO RIOS",2,7,6,6,1,8,10,4,3,5,1,2,1,15,1,66,0,0,1,5,0,0,3,30,4,0,2,3,4,1,166,1,0,3,1,4,1,13,3,7,1,0,0,5,0,0,1,0,0,2,0,2,1,0,7,2,4,5,4,1,15,1,1,13,1,1,2,0,2,2,1,68,2,7,415,1,5,9,4,0,1,7,3,6,15,6,6,6,11,2,0,7,29,10,4,83,1,2,6,11,10,29,1,1,1,1,9,71,2,5,0,0,0,133,2,2,6,1,4,0,23,4,0
"SANDRA YANETH LOPEZ DUEÃAS",0,2,1,8,0,1,1,2,0,0,0,0,0,3,0,15,3,0,0,0,1,0,3,4,1,0,1,0,1,0,33,13,1,1,0,0,5,3,2,1,4,0,1,1,0,0,3,0,0,0,0,1,1,0,2,2,3,8,0,1,2,0,0,10,1,0,1,0,0,2,0,25,1,2,0,0,0,0,3,0,0,3,4,1,1,3,4,2,5,2,0,6,5,1,1,37,0,1,4,1,0,4,0,1,1,2,6,2,1,2,1,1,0,85,0,0,8,1,1,2,1,0,1
"CENTRO DEMOCRÃTICO MANO FIRME CORAZÃN GRANDE",71,858,194,153,21,26,155,37,21,68,19,49,93,94,169,1260,10,130,343,244,70,55,120,121,41,43,242,90,134,54,4256,187,243,155,217,167,78,520,432,116,125,443,90,81,109,105,105,22,52,143,276,128,306,109,1779,64,267,292,140,69,245,237,124,451,64,102,167,34,38,528,18,1408,205,322,218,113,770,84,65,76,166,251,425,79,377,87,480,228,120,121,98,319,437,136,239,2619,56,83,123,99,114,175,59,56,414,40,325,255,169,280,359,105,76,5313,10,33,151,27,200,373,530,64,48
"SOLO LISTA CENTRO DEMOCRÃTICO MANO FIRME CORAZÃN GRANDE",18,312,41,46,3,10,34,11,8,17,10,15,32,17,41,426,2,55,134,29,13,10,43,25,12,14,61,26,16,21,960,100,119,31,36,29,29,165,92,46,27,103,30,32,44,30,44,7,30,58,23,28,103,32,187,12,91,73,13,10,131,45,54,126,41,39,40,9,4,41,7,496,93,119,49,14,203,4,14,9,24,119,107,43,150,38,122,39,16,26,4,57,159,27,83,926,13,4,29,15,12,25,34,11,80,20,82,29,29,50,44,40,28,847,0,17,26,7,58,45,171,14,16
