"nombre","AGUADAS","ANSERMA","ARANZAZU","BELALCAZAR","CHINCHINA","FILADELFIA","LA DORADA","LA MERCED","MANIZALES","MANZANARES","MARMATO","MARQUETALIA","MARULANDA","NEIRA","NORCASIA","PACORA","PALESTINA","PENSILVANIA","RIOSUCIO","RISARALDA","SALAMINA","SAMANA","SAN JOSE","SUPIA","VICTORIA","VILLAMARIA","VITERBO"
"PARTIDO DE LA U",2042,2140,1244,1923,3436,963,4859,903,24594,1923,658,729,199,3523,1199,855,2824,2129,3434,1537,1070,5652,238,641,1887,3775,1540
"SOLO LISTA PARTIDO DE LA U",300,347,189,220,487,107,856,75,3545,308,91,195,22,496,149,162,427,498,563,365,164,587,36,160,219,521,218
"HERNAN PENAGOS GIRALDO",1168,452,710,454,1512,469,766,141,11386,945,24,362,169,943,917,97,691,1290,673,61,361,1928,26,83,934,1162,875
"LUZ ADRIANA MORENO MARMOLEJO",541,1268,295,1190,170,326,371,668,8538,588,530,147,6,2010,108,573,1623,291,2091,1060,509,3040,165,351,667,1926,405
"WILLIAM FERNAN OLIVEROS SERRANO",19,30,19,19,59,15,2698,5,335,48,2,9,1,22,12,9,32,23,40,18,15,56,1,19,16,48,14
"ANDRES FERNANDO CHAPARRO ECHEVERRY",7,27,24,22,1179,37,97,10,601,14,7,6,1,32,8,7,39,17,36,14,16,14,8,21,33,81,14
"CATALINA CASTAÃEDA LOPEZ",7,16,7,18,29,9,71,4,189,20,4,10,0,20,5,7,12,10,31,19,5,27,2,7,18,37,14
"PARTIDO CONSERVADOR COLOMBIANO",1940,2381,2196,614,2967,813,473,1224,29774,1863,100,827,649,1208,130,544,624,1487,1342,484,2159,759,1219,1199,265,2599,1298
"SOLO LISTA PARTIDO CONSERVADOR COLOMBIANO",192,288,241,57,409,73,131,89,2603,271,10,144,57,152,8,75,106,257,159,81,249,90,80,211,18,254,131
"CARLOS URIEL NARANJO VELEZ",1281,244,98,33,613,282,82,543,9684,229,58,149,117,201,110,206,88,55,203,47,372,251,296,526,21,827,686
"ARTURO YEPES ALZATE",369,1785,1054,283,809,375,110,549,7420,1296,20,496,462,696,10,232,299,1140,650,317,715,385,797,371,68,506,390
"MONICA GIRALDO MEJIA",69,20,773,225,1064,67,112,31,9527,20,8,16,3,127,1,22,124,11,310,24,801,25,30,55,149,960,61
"AMPARO RAMIREZ CASTAÃO",16,17,10,8,20,4,19,4,255,19,1,7,4,13,0,5,2,10,3,4,6,3,7,14,5,27,19
