"nombre","ALBANIA","BELEN DE LOS ANDAQUIES","CARTAGENA DEL CHAIRA","CURILLO","EL DONCELLO","EL PAUJIL","FLORENCIA","LA MONTAÃITA","MILAN","MORELIA","PUERTO RICO","SAN JOSE DEL FRAGUA","SAN VICENTE DEL CAGUAN","SOLANO","SOLITA","VALPARAISO"
"PARTIDO DE LA U",551,369,231,555,650,740,6002,274,209,164,534,534,1151,53,341,232
"SOLO LISTA PARTIDO DE LA U",551,369,231,555,650,740,6002,274,209,164,534,534,1151,53,341,232
"LUIS ANTONIO SERRANO MORALES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUSTAVO ADOLFO CABRERA SILVA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINA MARIA ARTUNDUAGA MONTENEGRO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PARTIDO CONSERVADOR COLOMBIANO",284,539,892,531,562,191,9393,592,305,307,644,573,736,243,373,354
"SOLO LISTA PARTIDO CONSERVADOR COLOMBIANO",61,71,99,58,121,40,1048,57,51,62,135,76,108,31,51,44
"LUIS FERNANDO URREGO CARVAJAL",182,341,258,407,375,109,6922,518,199,209,420,416,481,177,300,281
"ROBINSON OCHOA GARCIA",22,33,494,53,44,18,530,13,20,17,42,35,57,27,15,5
"KATERINE ROMERO BARRAZA",19,94,41,13,22,24,893,4,35,19,47,46,90,8,7,24
"MOVIMIENTO "" MIRA """,261,400,247,283,1383,1141,6610,470,256,297,990,1085,732,101,184,593
"SOLO LISTA MOVIMIENTO "" MIRA """,52,90,86,46,319,259,1295,84,47,55,175,149,147,20,33,68
"WALTER MONSALVE VALENCIA",175,256,12,208,90,37,400,13,7,166,30,845,35,59,134,437
"YIMER EDUARDO BOTERO BEDOYA",19,43,26,23,103,52,4486,77,40,65,48,68,66,9,11,73
"MONICA ANDREA OLAYA FIGUEROA",15,11,123,6,871,793,429,296,162,11,737,23,484,13,6,15
"PARTIDO LIBERAL COLOMBIANO",259,451,360,277,1510,625,11373,760,634,347,1394,391,1328,374,605,854
"SOLO LISTA PARTIDO LIBERAL COLOMBIANO",31,52,72,26,212,104,1057,53,74,55,272,61,195,43,81,61
"PABLO ANDRES ALVAREZ VEGA",96,118,86,33,270,79,2515,104,54,31,111,45,231,249,216,77
"HARRY GIOVANNY GONZALEZ GARCIA",87,217,125,120,931,357,5701,560,435,240,797,191,602,66,284,659
"LUCRECIA MURCIA LOZADA",45,64,77,98,97,85,2100,43,71,21,214,94,300,16,24,57
"PARTIDO CAMBIO RADICAL",111,121,323,256,379,112,3426,137,166,147,163,177,902,299,36,29
"SOLO LISTA PARTIDO CAMBIO RADICAL",17,18,47,24,82,28,495,14,14,23,43,19,138,32,4,7
"LUZ MARINA ROMAN GUERRERO",62,45,170,125,74,30,700,92,41,21,29,119,111,14,5,8
"OSCAR RAUL ROJAS PEÃA",27,51,97,101,212,50,2104,28,103,99,62,30,92,249,24,10
"OMAR GARCIA CASTILLO",5,7,9,6,11,4,127,3,8,4,29,9,561,4,3,4
"PARTIDO ALIANZA VERDE",88,271,123,49,95,47,1540,50,43,48,162,115,177,62,13,11
"SOLO LISTA PARTIDO ALIANZA VERDE",19,60,40,3,21,18,222,6,7,7,43,14,50,22,4,3
"MARLON MONSALVE ASCANIO",35,85,49,25,53,24,930,25,18,13,70,57,67,11,7,3
"OCTAVIO DE JESUS ORDOÃEZ PAEZ",30,119,28,16,18,3,349,19,16,28,37,38,42,28,2,4
"CANDIDATO REVOCADO",4,7,6,5,3,2,39,0,2,0,12,6,18,1,0,1
"PARTIDO UNION PATRIOTICA ""UP""",15,26,324,18,53,92,710,484,16,15,119,191,370,72,3,3
"SOLO LISTA PARTIDO UNION PATRIOTICA ""UP""",5,10,78,6,13,28,157,57,2,3,27,23,63,7,1,1
"ROSMERY LONDOÃO GIL",7,11,219,10,34,56,383,413,11,10,37,11,198,63,2,2
"JOSELITO SANCHEZ CARDENAS",2,0,5,0,1,3,39,4,1,1,49,7,16,1,0,0
"EDUSMILDO RIOS ALVARADO",1,5,22,2,5,5,131,10,2,1,6,150,93,1,0,0
