"nombre","ALMAGUER","ARGELIA","BALBOA","BOLIVAR","BUENOS AIRES","CAJIBIO","CALDONO","CALOTO","CORINTO","EL TAMBO","FLORENCIA","GUACHENE","GUAPI","INZA","JAMBALO","LA SIERRA","LA VEGA","LOPEZ (MICAY)","MERCADERES","MIRANDA","MORALES","PADILLA","PAEZ (BELALCAZAR)","PATIA (EL BORDO)","PIAMONTE","PIENDAMO","POPAYAN","PUERTO TEJADA","PURACE (COCONUCO)","ROSAS","SAN SEBASTIAN","SANTA ROSA","SANTANDER DE QUILICHAO","SILVIA","SOTARA (PAISPAMBA)","SUAREZ","SUCRE","TIMBIO","TIMBIQUI","TORIBIO","TOTORO","VILLA RICA"
"PARTIDO ALIANZA VERDE",2147,1079,3311,2250,1405,1330,2371,2037,1970,1746,470,600,1184,440,1858,395,591,351,1750,1122,752,303,1460,3183,719,1641,12534,824,262,377,454,251,2384,1701,523,970,592,2107,490,2706,594,266
"SOLO LISTA PARTIDO ALIANZA VERDE",146,119,240,157,122,122,351,214,207,198,36,49,93,83,232,34,58,20,118,119,92,40,209,263,47,116,976,120,35,25,23,11,231,278,60,83,28,154,21,364,76,39
"OSCAR OSPINA QUINTERO",1442,817,276,1446,1025,890,646,102,330,927,337,234,979,170,38,152,445,264,869,561,220,156,752,382,619,776,7684,426,161,243,397,225,642,513,385,473,497,1694,311,69,126,122
"RANGEL GIOVANI YULE ZAPE",488,27,359,253,117,184,1274,1640,1338,29,9,214,29,147,1521,16,31,11,33,334,278,74,314,52,32,161,980,118,15,7,10,3,1204,758,27,372,33,107,119,2214,340,63
"AMARILDO CORREA OBANDO",55,106,2429,332,118,97,81,57,90,561,79,75,58,31,56,168,43,51,718,89,92,28,155,2460,13,112,1461,141,35,90,18,7,259,100,28,36,30,111,19,46,37,25
"LUIS GABRIEL CHICA BOLAÃOS",16,10,7,62,23,37,19,24,5,31,9,28,25,9,11,25,14,5,12,19,70,5,30,26,8,476,1433,19,16,12,6,5,48,52,23,6,4,41,20,13,15,17
"PARTIDO LIBERAL COLOMBIANO",1129,1341,951,2960,889,1956,958,2144,1711,3278,638,1878,962,826,670,832,2416,1231,585,1201,1835,599,2028,898,108,808,16226,2322,1259,1098,2713,191,8113,1063,939,1482,495,2627,1308,788,1975,1465
"SOLO LISTA PARTIDO LIBERAL COLOMBIANO",141,166,144,230,191,336,156,285,263,528,45,220,120,139,107,122,248,159,89,167,290,71,458,137,24,136,1865,373,220,118,292,18,650,202,139,182,32,308,160,195,336,250
"CARLOS JULIO BONILLA SOTO",521,353,111,618,508,101,168,1560,624,472,209,1392,417,204,122,72,311,158,44,581,330,317,1191,381,51,211,2305,1303,192,128,23,102,6406,489,49,867,236,153,467,117,563,890
"VICTOR LIBARDO RAMIREZ FAJARDO",389,124,68,919,59,345,283,120,331,458,161,46,116,187,23,183,322,463,343,255,77,46,207,221,26,137,7159,141,340,406,511,24,304,86,95,127,81,426,146,46,326,68
