"nombre","AGUACHICA","AGUSTIN CODAZZI","ASTREA","BECERRIL","BOSCONIA","CHIMICHAGUA","CHIRIGUANA","CURUMANI","EL COPEY","EL PASO","GAMARRA","GONZALEZ","LA GLORIA","LA JAGUA DE IBIRICO","LA PAZ","MANAURE BALCON DEL CESAR (MANA","PAILITAS","PELAYA","PUEBLO BELLO","RIO DE ORO","SAN ALBERTO","SAN DIEGO","SAN MARTIN","TAMALAMEQUE","VALLEDUPAR"
"PARTIDO OPCION CIUDADANA",6570,3055,1149,1629,840,1713,634,3334,912,769,1106,508,1810,4318,1569,397,870,427,183,2204,811,601,1420,607,5616
"SOLO LISTA PARTIDO OPCION CIUDADANA",281,206,59,130,76,55,26,152,86,52,56,14,150,100,113,12,66,34,13,100,65,31,63,20,423
"FERNANDO DE LA PEÃA MARQUEZ",3877,2792,1041,1448,742,1598,529,2141,790,684,997,492,1558,4160,1375,369,740,337,139,2075,702,555,1317,567,3541
"JOSE MOLINA CAVIEDES",2260,13,18,6,3,11,12,21,20,6,31,1,30,12,34,3,10,40,0,22,29,9,19,7,95
"YESIT EVARISTO CARCAMO CAPERA",122,17,6,12,5,32,37,976,1,5,3,1,50,33,14,4,29,8,3,4,8,2,2,9,138
"ALVARO JESUS CASTRO CASTRO",30,27,25,33,14,17,30,44,15,22,19,0,22,13,33,9,25,8,28,3,7,4,19,4,1419
"PARTIDO DE LA U",4855,3475,1033,921,1857,1901,3577,3008,2409,2422,2006,499,1044,1372,3432,973,764,1142,1737,471,1633,1891,370,1461,13468
"SOLO LISTA PARTIDO DE LA U",467,542,167,151,331,177,274,299,259,275,147,58,169,242,498,71,96,124,236,113,169,158,63,159,1845
"DAVIANYS LISBETH VARGAS SUAREZ",2998,46,24,189,54,43,188,101,25,99,65,3,50,68,74,16,28,55,29,20,506,448,33,20,674
"GUSTAVO ADOLFO GUERRA AÃEZ",722,1021,292,329,586,502,368,540,534,467,258,138,205,880,460,140,83,130,253,231,171,236,138,165,4302
"CHRISTIAN JOSE MORENO VILLAMIZAR",521,1730,520,234,832,1140,2716,1993,836,1540,1523,292,604,153,2371,731,466,816,1208,89,772,1019,112,1103,5856
"EDWIN ALBERTO LIZARAZO POLO",147,136,30,18,54,39,31,75,755,41,13,8,16,29,29,15,91,17,11,18,15,30,24,14,791
"PARTIDO CONSERVADOR COLOMBIANO",3908,2615,1258,769,2763,3314,1209,1070,2477,900,726,826,164,324,974,644,1265,942,532,2717,908,844,976,888,16860
"SOLO LISTA PARTIDO CONSERVADOR COLOMBIANO",349,181,116,59,303,119,87,113,136,35,70,31,25,17,89,78,120,77,94,203,86,66,97,66,1246
"ALFREDO APE CUELLO BAUTE",3049,2094,649,478,1450,1727,872,752,1293,526,587,769,64,188,675,487,296,815,360,2447,685,608,793,651,9804
"RICARDO FIDELIO QUINTERO BAUTE",233,235,466,205,925,1321,207,125,966,317,50,13,65,76,169,70,812,42,51,17,102,134,67,151,4341
"JOSE ALEJANDRO FUENTES RODADO",156,48,11,16,44,96,20,32,42,9,13,0,6,30,24,3,18,4,5,11,17,14,6,15,1010
"EDUARDO DANGOND CASTRO",121,57,16,11,41,51,23,48,40,13,6,13,4,13,17,6,19,4,22,39,18,22,13,5,459
"CENTRO DEMOCRÃTICO MANO FIRME CORAZÃN GRANDE",2617,1330,265,301,946,356,844,390,365,333,234,19,153,279,486,134,57,155,106,320,689,324,378,58,9148
"SOLO LISTA CENTRO DEMOCRÃTICO MANO FIRME CORAZÃN GRANDE",2617,1330,265,301,946,356,844,390,365,333,234,19,153,279,486,134,57,155,106,320,689,324,378,58,9148
"ANIBAL JOSE ARIZA OROZCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YALILE YANETH PEREZ OÃATE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JORGE ALBERTO MAESTRE MAYA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WILLIAM FRANCISCO RESTREPO SIERRA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PARTIDO CAMBIO RADICAL",1720,2727,650,444,754,706,320,502,766,230,285,109,204,1224,641,206,385,224,610,130,738,1299,2444,503,22329
