"nombre","AFRICA","ALEMANIA","ARGENTINA","ARUBA","AUSTRALIA","AUSTRIA","BELGICA","BOLIVIA","BRASIL","CANADA","CHILE","CHINA REPUBLICA POPULAR","CHIPRE","COREA DEL SUR","COSTA RICA","CUBA","CURAZAO","DINAMARCA","ECUADOR","EGIPTO","EL SALVADOR","EMIRATOS ARABES UNIDOS","ESPAÃA","ESTADOS UNIDOS","FILIPINAS","FINLANDIA","FRANCIA","GRECIA","GUATEMALA","HOLANDA","HONDURAS","INDIA","INDONESIA","INGLATERRA","IRLANDA","ISRAEL","ITALIA","JAMAICA","JAPON","KENIA","LIBANO","MALASIA","MARRUECOS","MEXICO","NICARAGUA","NORUEGA","NUEVA ZELANDIA","PANAMA","PARAGUAY","PERU","POLONIA","PORTUGAL","PUERTO RICO","REPUBLICA DOMINICANA","RUSIA","SUDAFRICA","SUECIA","SUIZA","TAILANDIA","TRINIDAD Y TOBAGO","TURQUIA","URUGUAY","VENEZUELA"
"PARTIDO CONSERVADOR COLOMBIANO",3,18,33,23,31,0,12,5,13,128,39,7,0,0,97,0,16,0,188,0,12,14,352,1570,0,2,31,0,16,7,4,0,3,68,2,6,32,0,5,3,5,4,0,43,5,0,3,74,9,37,2,4,17,16,0,2,7,15,0,2,2,2,1631
"SOLO LISTA PARTIDO CONSERVADOR COLOMBIANO",0,11,15,12,21,0,6,2,4,66,20,3,0,0,57,0,8,0,108,0,9,9,110,509,0,2,17,0,10,1,2,0,1,27,2,6,16,0,1,1,3,2,0,29,3,0,1,39,7,18,1,2,6,8,0,1,1,6,0,0,1,2,421
"MARTHA ACEVEDO CARDENAS",2,4,2,1,4,0,3,3,0,11,8,1,0,0,13,0,0,0,27,0,1,0,37,89,0,0,2,0,2,4,1,0,2,10,0,0,6,0,1,0,0,0,0,4,0,0,1,7,0,4,1,0,0,4,0,0,1,3,0,0,0,0,541
"CARMEN CECILIA CABALLERO VILLA",1,3,4,6,4,0,0,0,2,16,7,2,0,0,10,0,2,0,15,0,2,1,117,82,0,0,7,0,0,1,0,0,0,7,0,0,3,0,0,0,1,0,0,6,2,0,1,6,0,4,0,1,0,2,0,0,5,2,0,1,0,0,103
"ZOILO CESAR NIETO DIAZ",0,0,12,4,2,0,3,0,7,35,4,1,0,0,17,0,6,0,38,0,0,4,88,890,0,0,5,0,4,1,1,0,0,24,0,0,7,0,3,2,1,2,0,4,0,0,0,22,2,11,0,1,11,2,0,1,0,4,0,1,1,0,566
"PARTIDO LIBERAL COLOMBIANO",2,8,17,17,18,2,9,3,11,85,23,5,0,0,32,3,6,0,80,2,7,7,180,411,0,0,21,0,4,12,6,0,2,55,0,6,17,1,1,0,19,0,0,28,2,1,5,185,1,27,0,3,2,8,1,1,2,4,1,2,0,2,1823
"SOLO LISTA PARTIDO LIBERAL COLOMBIANO",1,4,7,9,13,2,4,1,6,41,11,3,0,0,15,3,6,0,54,0,5,4,78,154,0,0,11,0,3,3,4,0,1,26,0,3,8,0,1,0,14,0,0,15,2,1,4,63,1,11,0,3,0,2,0,1,1,3,1,1,0,0,209
"JUAN CARLOS TANUS TUIRAN",1,0,1,1,1,0,2,0,0,10,1,1,0,0,1,0,0,0,5,0,0,0,22,32,0,0,2,0,0,0,0,0,0,5,0,0,2,0,0,0,3,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,1,1396
"NORMAN DIXON ORTIZ CANO",0,3,8,5,3,0,1,1,2,23,7,1,0,0,12,0,0,0,8,1,2,2,50,184,0,0,5,0,1,9,2,0,0,7,0,2,4,1,0,0,0,0,0,7,0,0,0,64,0,7,0,0,2,2,0,0,0,1,0,0,0,0,138
"YADIR ALEXIS RIOS URIBE",0,1,1,2,1,0,2,1,3,11,4,0,0,0,4,0,0,0,13,1,0,1,30,41,0,0,3,0,0,0,0,0,1,17,0,1,3,0,0,0,2,0,0,4,0,0,1,58,0,4,0,0,0,4,1,0,0,0,0,0,0,1,80
