"nombre","AYAPEL","BUENAVISTA","CANALETE","CERETE","CHIMA","CHINU","CIENAGA DE ORO","COTORRA (BONGO)","LA APARTADA (FRONTERA)","LORICA","LOS CORDOBAS","MOMIL","MONTELIBANO","MONTERIA","MOÃITOS","PLANETA RICA","PUEBLO NUEVO","PUERTO ESCONDIDO","PUERTO LIBERTADOR","PURISIMA","SAHAGUN","SAN ANDRES DE SOTAVENTO","SAN ANTERO","SAN BERNARDO DEL VIENTO","SAN CARLOS","SAN JOSE DE URE","SAN PELAYO","TIERRALTA","TUCHIN","VALENCIA"
"PARTIDO DE LA U",9522,6713,3538,15752,4016,9662,13894,5199,5058,23467,2921,4107,11866,44549,4766,8715,9383,4208,7809,3739,33282,5568,4856,8807,3193,1839,12532,16474,2934,5837
"SOLO LISTA PARTIDO DE LA U",759,297,198,963,120,534,636,275,251,1342,184,132,1057,3268,235,648,346,423,687,272,2575,184,264,431,393,156,223,1156,116,447
"SARA ELENA PIEDRAHITA LYONS",3336,4594,1034,4252,611,2079,3419,2899,1115,15747,558,2950,3029,20561,1435,2287,3898,1871,2598,2117,4573,377,2174,4521,914,656,4389,4885,107,2126
"RAYMUNDO ELIAS MENDEZ BECHARA",2510,703,1054,5491,1749,1231,3303,476,1983,735,689,156,660,7345,521,1985,2483,402,1973,92,7806,588,479,386,808,399,1756,1586,263,1372
"EDUARDO JOSE TOUS DE LA OSSA",2069,995,734,4012,716,4045,4900,1244,1501,3495,789,747,6443,7196,1210,2352,1967,859,779,1150,16868,1987,1291,2354,712,453,5606,6543,1379,1262
"ANA LUCIA MADRID HODEG",635,48,96,522,586,220,499,219,72,1509,438,41,338,2735,238,755,385,425,111,50,670,186,377,895,46,28,246,1576,30,81
"NICOLAS ANTONIO JIMENEZ PATERNINA",213,76,422,512,234,1553,1137,86,136,639,263,81,339,3444,1127,688,304,228,1661,58,790,2246,271,220,320,147,312,728,1039,549
"PARTIDO CONSERVADOR COLOMBIANO",2584,396,2413,14311,2001,3317,4807,1013,455,5982,1517,2923,5487,45971,1606,9465,2541,1019,1372,1970,2597,8826,1455,1795,3429,1027,3772,3021,7351,2523
"SOLO LISTA PARTIDO CONSERVADOR COLOMBIANO",129,21,185,850,49,192,304,63,25,452,120,123,536,2993,110,642,117,83,107,169,276,455,66,92,425,64,108,233,374,214
"DAVID ALEJANDRO BARGUIL ASSIS",1953,237,936,11221,927,1366,2689,667,128,3009,1132,1347,2301,32776,779,6794,1782,611,449,995,1502,1662,649,499,2258,684,2942,1037,1044,1749
"JOSE DE LOS SANTOS NEGRETE FLOREZ",183,7,912,265,34,75,141,24,5,241,125,38,118,1616,72,237,30,92,297,18,63,53,91,860,71,7,108,111,37,30
"ANA LUZ ANAYA ALVAREZ",173,64,94,265,23,123,186,31,95,120,33,53,1481,945,64,254,85,29,231,47,157,114,29,66,66,94,101,168,54,43
"YENNY PATRICIA RENTERIA NEGRETE",75,47,82,297,34,168,214,43,28,352,49,210,291,1805,158,276,208,46,59,92,246,256,127,101,92,40,159,225,172,124
"JOSE LUIS ABDALLA OLIVERA",71,20,204,1413,934,1393,1273,185,174,1808,58,1152,760,5836,423,1262,319,158,229,649,353,6286,493,177,517,138,354,1247,5670,363
"PARTIDO LIBERAL COLOMBIANO",1487,2101,852,3432,1833,6810,1619,1963,294,12100,1314,982,1229,16822,1758,2202,1898,3902,1416,457,4750,2245,4465,1790,1577,396,2775,2766,816,3926
"SOLO LISTA PARTIDO LIBERAL COLOMBIANO",178,92,137,255,53,274,187,135,23,823,162,64,201,1852,188,232,85,658,192,33,323,244,203,129,269,25,130,328,62,293
"FABIO RAUL AMIN SALEME",541,130,359,1589,1607,5965,718,1299,131,10341,685,773,335,3713,1138,749,1412,2461,788,361,3640,1542,3775,1013,693,233,1642,1168,589,192
"ALBA LUZ POSADA LERECH",445,43,50,691,75,116,453,248,48,270,279,29,208,7267,145,768,53,363,236,14,382,162,138,409,392,22,519,662,64,48
"FERNEY ADEL BERTEL ROJAS",177,1746,145,732,41,248,133,134,64,270,111,53,360,1829,151,332,171,287,136,19,265,165,234,114,137,94,344,347,45,121
"STELLA MARIS URANGO MARTINEZ",78,9,127,94,32,71,64,21,9,128,42,8,44,1280,20,59,87,46,19,2,46,59,52,45,25,4,45,74,17,28
"MARIO ATENCIO DORIA",68,81,34,71,25,136,64,126,19,268,35,55,81,881,116,62,90,87,45,28,94,73,63,80,61,18,95,187,39,3244
