"nombre","AGUA DE DIOS","ALBAN","ANAPOIMA","ANOLAIMA","APULO","ARBELAEZ","BELTRAN","BITUIMA","BOJACA","CABRERA","CACHIPAY","CAJICA","CAPARRAPI","CAQUEZA","CARMEN DE CARUPA","CHAGUANI","CHIA","CHIPAQUE","CHOACHI","CHOCONTA","COGUA","COTA","CUCUNUBA","EL COLEGIO","EL PEÃON","EL ROSAL","FACATATIVA","FOMEQUE","FOSCA","FUNZA","FUQUENE","FUSAGASUGA","GACHALA","GACHANCIPA","GACHETA","GAMA","GIRARDOT","GRANADA","GUACHETA","GUADUAS","GUASCA","GUATAQUI","GUATAVITA","GUAYABAL DE SIQUIMA","GUAYABETAL","GUTIERREZ","JERUSALEN","JUNIN","LA CALERA","LA MESA","LA PALMA","LA PEÃA","LA VEGA","LENGUAZAQUE","MACHETA","MADRID","MANTA","MEDINA","MOSQUERA","NARIÃO","NEMOCON","NILO","NIMAIMA","NOCAIMA","PACHO","PAIME","PANDI","PARATEBUENO (LA NAGUAYA)","PASCA","PUERTO SALGAR","PULI","QUEBRADANEGRA","QUETAME","QUIPILE","RICAURTE","SAN ANTONIO DEL TEQUENDAMA","SAN BERNARDO","SAN CAYETANO","SAN FRANCISCO","SAN JUAN DE RIOSECO","SASAIMA","SESQUILE","SIBATE","SILVANIA","SIMIJACA","SOACHA","SOPO","SUBACHOQUE","SUESCA","SUPATA","SUSA","SUTATAUSA","TABIO","TAUSA","TENA","TENJO","TIBACUY","TIBIRITA","TOCAIMA","TOCANCIPA","TOPAIPI","UBALA","UBAQUE","UBATE","UNE","UTICA","VENECIA","VERGARA","VIANI","VILLAGOMEZ","VILLAPINZON","VILLETA","VIOTA","YACOPI","ZIPACON","ZIPAQUIRA"
"PARTIDO LIBERAL COLOMBIANO",1514,207,931,436,433,89,197,57,882,131,532,633,372,54,263,268,1746,108,72,942,174,1779,243,787,34,892,9953,76,209,2402,236,2778,188,120,91,19,11839,206,366,1328,212,182,96,253,35,15,262,53,363,1645,386,31,714,129,106,2031,166,160,1439,388,253,372,54,77,497,44,272,276,388,1101,28,583,40,146,1651,274,66,58,209,982,193,222,924,427,333,5551,269,273,485,54,77,193,155,264,265,609,116,40,1186,463,310,88,55,1189,287,435,164,63,219,11,109,674,781,1350,243,1953
"SOLO LISTA PARTIDO LIBERAL COLOMBIANO",97,21,109,78,26,16,27,6,26,19,65,100,54,6,25,29,285,21,9,130,34,172,39,85,13,119,601,13,22,193,28,359,35,17,21,3,874,22,99,147,25,13,18,13,5,3,38,9,56,208,48,7,77,17,26,243,29,18,173,20,29,39,1,5,93,9,23,24,29,148,4,27,6,20,203,44,9,8,18,66,25,32,101,55,27,885,63,43,98,8,13,23,32,48,47,95,22,7,191,70,49,14,8,163,60,32,25,9,29,0,14,86,86,254,21,337
"OSCAR HERNAN SANCHEZ LEON",1203,152,583,187,158,12,70,29,733,22,252,245,256,26,181,174,537,36,19,236,77,1277,142,522,9,529,8066,30,139,1836,87,734,41,32,38,5,935,5,46,850,28,12,52,199,5,4,9,7,192,681,257,9,406,68,7,718,74,80,729,30,115,132,48,39,238,12,107,174,289,607,18,508,11,61,159,153,16,21,128,739,139,90,352,123,57,1195,92,167,208,31,7,131,54,144,120,382,45,12,82,184,176,25,28,501,156,350,17,23,162,4,13,484,311,988,178,897
"RODOLFO SERRANO MONROY",160,9,134,107,129,31,96,12,53,46,151,105,13,8,28,43,363,27,12,497,15,158,23,74,0,158,589,3,22,167,95,1067,55,48,20,4,9467,143,156,237,111,148,10,18,14,6,196,8,23,533,30,6,156,19,18,348,37,37,250,325,65,165,2,14,69,13,114,29,31,181,2,11,7,6,1223,36,31,18,28,130,7,51,359,143,199,995,39,15,41,9,37,16,25,24,82,35,33,5,818,94,61,31,7,379,42,36,101,16,4,4,55,32,340,30,28,291
"LUIS CARLOS APARICIO CONCHA",15,3,13,16,10,12,0,3,6,36,25,94,35,6,15,4,119,2,18,14,9,36,16,40,6,34,145,23,12,41,11,130,45,11,5,3,120,11,21,29,19,1,5,10,3,1,8,25,29,70,27,7,16,9,39,89,11,14,49,0,13,10,0,8,38,0,15,26,13,49,1,18,5,7,21,14,3,5,5,13,10,24,18,49,19,474,23,22,79,2,14,6,18,12,6,44,1,12,18,31,4,13,5,63,3,7,11,8,2,1,11,19,9,41,4,101
"KATERINE CASTELLANOS FORIGUA",15,6,24,14,13,5,1,3,9,0,8,11,3,5,2,4,79,10,1,9,9,51,5,18,3,9,81,3,13,29,3,236,2,8,0,0,112,10,14,15,12,2,1,11,5,1,4,2,12,75,5,0,24,10,6,419,9,7,42,7,5,12,0,2,20,6,5,12,8,15,1,2,4,14,18,6,3,3,10,9,5,7,21,28,8,256,9,3,10,3,0,4,8,8,2,9,11,0,29,16,2,3,3,28,8,2,5,2,3,1,10,8,15,10,4,56
"MARLEN BERNAL ESCOBAR",13,9,5,15,10,3,0,2,21,1,14,23,5,0,0,1,73,7,3,18,7,28,2,8,0,24,254,2,1,33,6,92,1,0,1,2,116,9,10,25,4,2,0,2,0,0,5,2,6,14,1,2,10,0,10,33,2,0,36,3,7,4,1,1,15,0,2,1,2,37,2,6,0,1,6,8,2,0,2,4,4,6,29,15,11,200,9,7,27,0,2,0,4,1,1,7,0,1,8,22,0,0,3,11,4,8,2,1,7,0,3,32,8,2,5,41
"LUZ MARINA VELASQUEZ GOMEZ",7,7,31,8,8,5,2,1,12,7,5,24,1,1,9,5,73,2,6,29,7,19,12,28,3,7,45,0,0,30,5,74,2,3,3,2,56,6,17,12,9,0,8,0,0,0,2,0,9,6,3,0,7,5,0,53,4,0,22,0,15,3,2,8,21,4,4,1,12,37,0,3,5,23,8,5,2,3,4,7,2,10,24,6,8,1113,25,8,15,1,2,9,10,20,4,16,2,3,15,26,14,0,1,21,12,0,3,2,8,1,2,8,4,5,3,161
"GONZALO GUZMAN NARANJO",4,0,32,11,79,5,1,1,22,0,12,31,5,2,3,8,217,3,4,9,16,38,4,12,0,12,172,2,0,73,1,86,7,1,3,0,159,0,3,13,4,4,2,0,3,0,0,0,36,58,15,0,18,1,0,128,0,4,138,3,4,7,0,0,3,0,2,9,4,27,0,8,2,14,13,8,0,0,14,14,1,2,20,8,4,433,9,8,7,0,2,4,4,7,3,21,2,0,25,20,4,2,0,23,2,0,0,2,4,0,1,5,8,20,0,69
"PARTIDO CAMBIO RADICAL",1514,394,606,396,651,203,498,324,613,324,534,631,513,341,129,525,2508,215,420,386,2680,1285,75,1661,523,1470,3554,197,94,15731,201,1653,399,1016,308,134,6912,271,935,442,410,278,142,172,55,242,221,271,686,1199,418,507,796,586,211,3901,79,418,9855,97,473,859,181,292,1162,175,216,455,445,426,381,92,60,523,453,696,569,389,422,654,258,358,3496,786,445,10602,393,920,683,199,493,261,774,297,1216,874,189,78,1161,1764,1009,654,166,808,736,256,247,335,355,42,249,564,380,1584,407,2253
