"nombre","BARRANCO MINAS","CACAHUAL","INIRIDA","LA GUADALUPE","MAPIRIPANA","MORICHAL (MORICHAL NUEVO)","PANA PANA (CAMPO ALEGRE)","PUERTO COLOMBIA","SAN FELIPE"
"PARTIDO CAMBIO RADICAL",199,5,2239,14,19,0,2,70,78
"SOLO LISTA PARTIDO CAMBIO RADICAL",199,5,2239,14,19,0,2,70,78
"CARLOS ALBERTO CUENCA CHAUX",0,0,0,0,0,0,0,0,0
"ARDASIR BURGOS CUEVAS",0,0,0,0,0,0,0,0,0
"OFELIA DE LA ESPRIELLA ALVAREZ",0,0,0,0,0,0,0,0,0
"PARTIDO ALIANZA SOCIAL INDEPENDIENTE",180,32,2433,5,5,0,4,26,46
"SOLO LISTA PARTIDO ALIANZA SOCIAL INDEPENDIENTE",30,0,260,2,3,0,0,6,16
"RUTH MARINA VEGA DEVIA",139,0,419,1,2,0,3,5,1
"PABLO ELADIO ALBA MEDINA",9,3,787,1,0,0,0,15,28
"EDGAR ALEXANDER CIPRIANO MORENO",2,29,967,1,0,0,1,0,1
"PARTIDO OPCION CIUDADANA",173,67,1635,12,38,0,0,34,83
"SOLO LISTA PARTIDO OPCION CIUDADANA",173,67,1635,12,38,0,0,34,83
"CIRO ALBERTO VARGAS SILVA",0,0,0,0,0,0,0,0,0
"OSCAR ALBERTO RUGE PINZON",0,0,0,0,0,0,0,0,0
"FREDY LOPEZ DIAZ",0,0,0,0,0,0,0,0,0
"PARTIDO ALIANZA VERDE",151,14,1412,42,12,0,72,79,50
"SOLO LISTA PARTIDO ALIANZA VERDE",151,14,1412,42,12,0,72,79,50
"BISNEYDER MARTINEZ RENTERIA",0,0,0,0,0,0,0,0,0
"JOSE DEL CARMEN LARA VELASQUEZ",0,0,0,0,0,0,0,0,0
"PARTIDO DE LA U",140,0,761,3,5,0,9,4,14
"SOLO LISTA PARTIDO DE LA U",27,0,136,2,3,0,5,0,4
"TOCAYO CARRIZOSA FALLA",89,0,253,1,0,0,4,1,0
"CENOBIA TORCUATO CAICEDO",22,0,144,0,2,0,0,3,10
"EDGAR AVELINO HERNANDEZ ARANA",2,0,228,0,0,0,0,0,0
"POLO DEMOCRATICO ALTERNATIVO",4,0,116,0,0,0,0,1,2
"SOLO LISTA POLO DEMOCRATICO ALTERNATIVO",2,0,78,0,0,0,0,1,1
"DOMINGO SABIO FONSECA CIPRIANO",2,0,38,0,0,0,0,0,1
"PARTIDO LIBERAL COLOMBIANO",3,1,67,0,0,0,0,1,9
"SOLO LISTA PARTIDO LIBERAL COLOMBIANO",3,1,67,0,0,0,0,1,9
"GUILLERMO ENRIQUE BRITO GARRIDO",0,0,0,0,0,0,0,0,0
"JOSE FRANCISCO GUERRERO RIVERA",0,0,0,0,0,0,0,0,0
"ANGEL MIGUEL URIBE DIAZ",0,0,0,0,0,0,0,0,0
