"nombre","CALAMAR","EL RETORNO","MIRAFLORES","SAN JOSE DEL GUAVIARE"
"PARTIDO ALIANZA SOCIAL INDEPENDIENTE",816,456,239,3915
"SOLO LISTA PARTIDO ALIANZA SOCIAL INDEPENDIENTE",40,30,16,297
"WILLIAM RAMIREZ VILLEGAS",461,14,21,459
"FLOR PIEDAD CORTES CRISTANCHO",227,344,120,1723
"ALEXANDER HARLEY BERMUDEZ LASSO",88,68,82,1436
"PARTIDO CONSERVADOR COLOMBIANO",522,1401,365,3304
"SOLO LISTA PARTIDO CONSERVADOR COLOMBIANO",29,63,20,266
"LUIS CARLOS GRANADOS GOMEZ",269,674,259,1988
"NICANOR VALENCIA VERA",215,651,72,789
"PASTORA CANCINO ZAPATA",9,13,14,261
"PARTIDO DE LA U",478,3039,8,2572
"SOLO LISTA PARTIDO DE LA U",42,193,3,224
"ALEXANDER GARCIA RODRIGUEZ",363,2767,1,1875
"EDGAR IGNACIO DIAZ BERNAL",53,46,3,270
"NUVIA ESTELLA HOLGUIN LOPEZ",20,33,1,203
"PARTIDO LIBERAL COLOMBIANO",147,228,401,4944
"SOLO LISTA PARTIDO LIBERAL COLOMBIANO",9,16,58,432
"LEOPOLDO SUAREZ MELO",111,149,303,2548
"JULIO ARCINIEGAS CIFUENTES",20,41,28,1388
"JUAN NEVARDO RIVEROS PARDO",7,22,12,576
"PARTIDO UNION PATRIOTICA ""UP""",136,79,46,256
"SOLO LISTA PARTIDO UNION PATRIOTICA ""UP""",136,79,46,256
"JOSE GERMAN OLARTE PALOMINO",0,0,0,0
"INGRID PINILLA ESPITIA",0,0,0,0
"ARMANDO VELASQUEZ",0,0,0,0
"MOVIMIENTO "" MIRA """,53,46,4,512
"SOLO LISTA MOVIMIENTO "" MIRA """,12,6,0,62
"DORIS REYES CAMACHO",36,1,3,32
"DEYSI MUÃOZ RIOS",3,13,0,176
"GILDARDO AGUILAR MORENO",2,26,1,242
