"nombre","ACEVEDO","AGRADO","AIPE","ALGECIRAS","ALTAMIRA","BARAYA","CAMPOALEGRE","COLOMBIA","ELIAS","GARZON","GIGANTE","GUADALUPE","HOBO","IQUIRA","ISNOS","LA ARGENTINA (PLATA VIEJA)","LA PLATA","NATAGA","NEIVA","OPORAPA","PAICOL","PALERMO","PALESTINA","PITAL","PITALITO","RIVERA","SALADOBLANCO","SAN AGUSTIN","SANTA MARIA","SUAZA","TARQUI","TELLO","TERUEL","TESALIA (CARNICERIAS)","TIMANA","VILLAVIEJA","YAGUARA"
"POR UN HUILA MEJOR",2545,906,1005,2159,303,372,2003,686,690,5007,2205,2409,540,1094,1862,1070,3818,379,15469,770,203,1282,1230,1713,7363,2057,1550,2621,685,1778,1999,1203,471,910,1809,1137,270
"SOLO LISTA POR UN HUILA MEJOR",288,105,148,252,23,61,259,74,54,747,300,282,68,73,244,135,464,47,1672,97,26,100,156,237,873,182,131,550,89,293,107,166,45,136,282,108,31
"ORLANDO BELTRAN CUELLAR",1543,241,162,354,93,25,244,206,106,2746,919,1804,103,369,727,398,1175,96,1938,475,80,174,200,882,1164,300,861,468,285,959,1232,194,156,414,815,41,40
"FLORA PERDOMO ANDRADE",491,466,313,1218,91,212,1210,339,358,892,389,186,294,502,626,452,1191,144,6787,109,61,440,492,498,1272,1099,194,759,192,422,428,679,210,226,391,400,128
"CONSUELO GONZALEZ DE PERDOMO",177,57,107,261,75,21,214,56,155,433,355,57,32,30,199,19,852,85,3192,61,22,293,274,45,3685,365,263,718,24,59,151,81,20,92,289,318,42
"ALEXANDER BERNAL HERNANDEZ",46,37,275,74,21,53,76,11,17,189,242,80,43,120,66,66,136,7,1880,28,14,275,108,51,369,111,101,126,95,45,81,83,40,42,32,270,29
"CENTRO DEMOCRÃTICO MANO FIRME CORAZÃN GRANDE",2023,257,611,389,134,188,1116,140,197,2428,1509,395,306,143,1021,306,2744,231,15250,848,372,888,617,342,5899,614,797,2080,704,455,401,359,347,601,990,70,325
"SOLO LISTA CENTRO DEMOCRÃTICO MANO FIRME CORAZÃN GRANDE",2023,257,611,389,134,188,1116,140,197,2428,1509,395,306,143,1021,306,2744,231,15250,848,372,888,617,342,5899,614,797,2080,704,455,401,359,347,601,990,70,325
"ALVARO HERNAN PRADA ARTUNDUAGA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LUIS JAIRO IBARRA OBANDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARLEY NARANJO GASCA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HUGO PERDOMO TELLO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PARTIDO CONSERVADOR COLOMBIANO",1638,577,390,213,291,130,1645,613,228,4623,327,745,147,742,1097,839,2797,605,12179,1260,1117,2278,1062,869,9340,778,763,1614,1030,757,1431,383,1544,973,1353,485,557
"SOLO LISTA PARTIDO CONSERVADOR COLOMBIANO",169,53,63,44,29,17,169,74,43,608,102,110,32,58,145,95,365,51,1349,97,87,145,110,108,721,88,80,304,122,141,116,50,75,163,153,38,65
"GLADYS CANACUE MEDINA",751,310,98,33,54,59,1025,254,118,855,59,175,48,56,268,158,890,277,3977,254,443,373,350,164,5076,278,298,441,360,117,532,176,121,361,867,292,93
"CARLOS AUGUSTO ROJAS ORTIZ",429,31,29,96,72,8,39,29,23,834,41,101,11,41,334,138,270,46,1032,306,119,182,316,122,1745,62,145,429,70,87,98,28,44,100,209,22,32
