"nombre","ALGARROBO","ARACATACA","ARIGUANI (EL DIFICIL)","CERRO DE SAN ANTONIO","CHIVOLO","CIENAGA","CONCORDIA","EL BANCO","EL PIÃON","EL RETEN","FUNDACION","GUAMAL","NUEVA GRANADA","PEDRAZA","PIJIÃO DEL CARMEN","PIVIJAY","PLATO","PUEBLOVIEJO","REMOLINO","SABANAS DE SAN ANGEL","SALAMINA","SAN SEBASTIAN DE BUENAVISTA","SAN ZENON","SANTA ANA","SANTA BARBARA DE PINTO","SANTA MARTA","SITIONUEVO","TENERIFE","ZAPAYAN","ZONA BANANERA (SEVILLA)"
"PARTIDO CAMBIO RADICAL",2045,4418,1302,1616,1244,14064,2226,3699,1793,1246,4326,1378,556,257,978,2356,4983,2410,902,1297,378,1502,1401,1045,231,22577,2312,180,580,4157
"SOLO LISTA PARTIDO CAMBIO RADICAL",205,295,177,59,84,950,47,253,133,135,340,106,95,11,47,171,485,264,93,70,33,163,15,78,21,2015,243,18,9,407
"JOSE LUIS PINEDO CAMPO",1134,971,459,45,369,3020,326,1057,252,370,1753,935,268,93,356,385,521,1096,465,273,83,1130,95,313,119,10574,1396,76,54,1045
"FABIAN GERARDO CASTILLO SUAREZ",615,2875,609,1407,623,9535,1752,2178,269,661,1913,219,128,102,504,1595,3478,887,288,892,80,137,1245,282,42,7724,266,41,486,2381
"LILIANA ROCIO ROBLES GALOFRE",38,50,12,14,43,192,10,44,7,13,99,22,10,5,17,29,115,28,22,11,20,18,11,24,6,902,141,3,4,74
"MARIA PATRICIA CERA BENAVIDES",33,178,23,11,82,189,48,109,6,33,144,12,44,40,31,43,215,32,18,27,3,8,18,314,37,719,134,25,9,220
"CARLOS ALBERTO CARBONELL ALVAREZ",20,49,22,80,43,178,43,58,1126,34,77,84,11,6,23,133,169,103,16,24,159,46,17,34,6,643,132,17,18,30
"PARTIDO LIBERAL COLOMBIANO",1200,3852,1542,2194,2192,6483,1536,2502,1384,2174,7403,3281,422,2343,598,4858,5825,1810,1185,1006,1143,1862,1518,612,1895,24546,1576,3937,843,1655
"SOLO LISTA PARTIDO LIBERAL COLOMBIANO",163,212,213,52,97,478,21,120,60,220,369,123,74,19,25,200,378,189,52,25,98,128,23,36,129,1901,102,146,13,176
"JAIME ENRIQUE SERRANO PEREZ",559,2669,555,31,317,3036,77,714,80,1247,3427,91,44,69,245,1475,991,461,201,97,88,88,277,389,1155,7622,317,1005,144,940
"FRANCISCO JOSE PORTO INFANTE",191,446,175,999,284,1761,454,1433,96,188,1868,655,175,10,210,283,645,121,731,77,30,30,300,94,483,5266,78,15,16,267
"KELYN JOHANA GONZALEZ DUARTE",143,112,467,1066,905,492,322,90,1058,277,567,2396,95,57,28,2750,2562,949,12,19,798,1586,900,69,99,2632,14,2068,276,103
"EFRAIN LOZANO MEDINA",137,390,119,32,560,638,659,127,79,228,1083,14,15,2182,87,121,1167,82,170,776,118,8,13,18,10,6401,1054,692,387,138
"VIRGINIA SEGUNDA NAVARRO LAMADRID",7,23,13,14,29,78,3,18,11,14,89,2,19,6,3,29,82,8,19,12,11,22,5,6,19,724,11,11,7,31
"PARTIDO OPCION CIUDADANA",348,981,1080,78,1035,1232,1401,4691,1452,285,976,945,269,1977,142,2392,930,2230,833,1146,794,1525,408,2568,739,8966,2550,103,2512,5137
"SOLO LISTA PARTIDO OPCION CIUDADANA",39,67,57,5,46,87,41,194,94,27,69,46,24,27,11,155,116,129,77,40,41,160,5,98,21,698,186,6,25,485
"FRANKLIN DEL CRISTO LOZANO DE LA OSSA",248,857,964,68,851,784,1331,4143,1204,142,658,804,187,1922,103,2098,762,1999,635,1028,704,12,355,2389,697,5420,1784,91,2459,4417
"DIANA PATRICIA SALCEDO OROZCO",47,25,5,3,49,73,4,169,37,55,172,15,12,1,18,47,14,36,5,60,28,6,4,12,2,731,40,2,9,61
"CARLOS ENRIQUE AVILA DURAN",5,12,6,0,14,13,14,21,16,37,7,4,1,20,2,17,7,36,7,10,2,4,1,8,2,176,73,4,4,75
"GONZALO CORTES MARTINEZ",5,18,16,2,10,43,7,42,76,7,63,19,1,5,2,42,14,20,7,6,16,73,7,26,2,1382,42,0,13,59
"STEPHANIE BRUGES MARTELO",4,2,32,0,65,232,4,122,25,17,7,57,44,2,6,33,17,10,102,2,3,1270,36,35,15,559,425,0,2,40
"PARTIDO DE LA U",262,665,2183,193,498,3708,229,6007,558,710,1200,1399,4266,145,1342,1026,1710,1254,249,501,539,998,428,1419,567,11527,238,720,187,2846
"SOLO LISTA PARTIDO DE LA U",48,125,310,30,117,491,25,481,84,177,206,103,449,20,76,230,233,231,56,88,86,122,45,90,50,1529,62,71,19,330
"EDUARDO AGATON DIAZ GRANADOS ABADIA",118,421,1683,18,234,2497,148,1118,330,159,533,221,3711,111,1020,524,1086,662,96,291,376,234,157,607,264,6840,74,555,104,2101
