"nombre","ACACIAS","BARRANCA DE UPIA","CABUYARO","CASTILLA LA NUEVA","CUBARRAL","CUMARAL","EL CALVARIO","EL CASTILLO","EL DORADO","FUENTE DE ORO","GRANADA","GUAMAL","LA MACARENA","LEJANIAS","MAPIRIPAN","MESETAS","PUERTO CONCORDIA","PUERTO GAITAN","PUERTO LLERAS","PUERTO LOPEZ","PUERTO RICO","RESTREPO","SAN CARLOS DE GUAROA","SAN JUAN DE ARAMA","SAN JUANITO","SAN MARTIN DE LOS LLANOS","URIBE","VILLAVICENCIO","VISTA HERMOSA"
"PARTIDO DE LA U",6197,386,836,1760,837,1392,244,603,716,1117,7313,1963,643,856,269,726,741,3433,474,3762,774,1433,1022,637,88,2858,85,29154,1024
"SOLO LISTA PARTIDO DE LA U",1005,51,127,255,60,191,15,78,53,203,889,186,97,169,96,95,94,522,81,543,159,181,160,75,20,453,23,4743,201
"JAIME RODRIGUEZ CONTRERAS",3074,60,129,930,339,431,97,417,471,474,1698,882,36,239,51,301,153,446,192,1123,224,762,392,176,4,1239,10,11026,356
"ELDA LUCY CONTENTO SANZ",1579,236,558,513,273,689,127,84,148,166,2295,673,495,363,93,283,459,2362,163,1736,347,403,427,348,51,991,46,10785,377
"JUAN CARLOS MENDOZA RENDON",539,39,22,62,165,81,5,24,44,274,2431,222,15,85,29,47,35,103,38,360,44,87,43,38,13,175,6,2600,90
"CENTRO DEMOCRÃTICO MANO FIRME CORAZÃN GRANDE",5182,184,230,906,601,1230,54,112,201,475,2417,1038,112,518,70,261,66,797,273,1364,356,1047,467,366,109,1204,39,25943,695
"SOLO LISTA CENTRO DEMOCRÃTICO MANO FIRME CORAZÃN GRANDE",5182,184,230,906,601,1230,54,112,201,475,2417,1038,112,518,70,261,66,797,273,1364,356,1047,467,366,109,1204,39,25943,695
"FERNANDO SIERRA RAMOS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CESAR AUGUSTO DUQUE DUQUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUILLERMO EDUARDO FLETCHER VELASCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PARTIDO LIBERAL COLOMBIANO",4816,835,658,1774,573,2162,283,865,445,1735,7887,1531,550,976,883,695,797,1032,1147,2916,986,2152,1154,1066,271,2433,356,43722,1495
"SOLO LISTA PARTIDO LIBERAL COLOMBIANO",404,48,71,88,40,170,19,83,31,119,610,85,65,89,64,64,77,136,73,261,107,199,107,100,22,221,52,3156,135
"ANGELO ANTONIO VILLAMIL BENAVIDES",3313,231,485,1356,475,1435,108,685,304,1388,6621,1222,449,676,506,514,541,673,659,1935,704,1126,866,794,218,1476,223,23000,857
"HUGO ORLANDO VELASQUEZ JARAMILLO",569,35,69,205,38,386,16,57,93,125,329,73,24,93,196,81,34,118,317,524,89,182,133,119,9,497,49,7379,93
"TANIA JARAMILLO GARCIA",530,521,33,125,20,171,140,40,17,103,327,151,12,118,117,36,145,105,98,196,86,645,48,53,22,239,32,10187,410
"PARTIDO CONSERVADOR COLOMBIANO",4355,89,15,247,95,188,55,27,49,50,144,138,60,62,14,66,48,119,49,118,19,392,43,54,7,132,18,3684,50
