"nombre","ALBAN (SAN JOSE)","ALDANA","ANCUYA","ARBOLEDA (BERRUECOS)","BARBACOAS","BELEN","BUESACO","CHACHAGUI","COLON (GENOVA)","CONSACA","CONTADERO","CORDOBA","CUASPUD (CARLOSAMA)","CUMBAL","CUMBITARA","EL CHARCO","EL PEÃOL","EL ROSARIO","EL TABLON","EL TAMBO","FRANCISCO PIZARRO (SALAHONDA)","FUNES","GUACHUCAL","GUAITARILLA","GUALMATAN","ILES","IMUES","IPIALES","LA CRUZ","LA FLORIDA","LA LLANADA","LA TOLA","LA UNION","LEIVA","LINARES","LOS ANDES (SOTOMAYOR)","MAGUI (PAYAN)","MALLAMA (PIEDRANCHA)","MOSQUERA","NARIÃO","OLAYA HERRERA","OSPINA","PASTO","POLICARPA","POTOSI","PROVIDENCIA","PUERRES","PUPIALES","RICAURTE","ROBERTO PAYAN (SAN JOSE)","SAMANIEGO","SAN BERNARDO","SAN LORENZO","SAN PABLO","SAN PEDRO DE CARTAGO","SANDONA","SANTA BARBARA (ISCUANDE)","SANTACRUZ (GUACHAVES)","SAPUYES","TAMINANGO","TANGUA","TUMACO","TUQUERRES","YACUANQUER"
"PARTIDO OPCION CIUDADANA",1453,209,881,646,323,426,2554,585,821,1677,709,307,1013,1365,79,310,101,486,2278,437,88,453,2623,727,446,857,352,2238,1423,112,243,355,1810,304,1364,989,65,198,66,38,198,82,10794,1130,67,209,324,720,174,107,5420,1293,2555,2569,891,1898,151,508,493,758,1535,1760,1979,1196
"SOLO LISTA PARTIDO OPCION CIUDADANA",64,7,21,20,33,112,185,16,81,110,14,9,38,44,5,40,9,16,44,49,12,19,97,23,11,57,10,123,41,6,7,53,78,9,35,57,15,7,16,4,12,9,719,67,8,3,10,32,9,29,140,45,98,113,27,74,11,14,20,107,58,122,79,26
"BAYARDO GILBERTO BETANCOURT PEREZ",618,106,19,272,153,273,2208,431,679,1433,272,129,879,493,13,128,45,431,1297,327,1,107,102,123,71,707,61,1435,114,54,193,280,1223,246,1181,822,38,108,9,28,72,64,5954,990,34,123,222,23,69,62,5000,783,2080,2224,646,1660,116,435,96,325,1385,505,815,914
"JAIRO GAVIRIA BRAVO",517,7,12,278,64,6,54,37,14,27,48,7,17,31,3,6,4,11,270,3,1,5,28,87,7,20,15,61,21,11,0,4,371,28,7,22,0,7,2,0,28,2,574,10,1,3,4,35,11,2,93,71,254,34,159,40,1,9,6,96,17,28,68,128
"EULER ALDEMAR MARTINEZ RODRIGUEZ",213,73,146,63,46,22,68,33,10,56,365,71,11,507,4,114,9,6,575,23,59,220,2342,434,340,53,224,467,1160,6,5,4,114,11,23,43,4,41,16,2,73,6,2037,17,15,24,50,615,20,2,85,329,67,90,32,48,14,33,366,189,39,908,947,67
"PIEDAD DEL CARMEN MORENO CRUZ",29,15,12,10,27,13,25,52,32,39,10,90,43,273,54,11,34,19,83,27,15,99,48,54,15,10,34,137,84,33,38,10,17,8,71,42,7,24,23,4,9,1,1061,32,4,56,37,11,62,12,82,60,43,94,22,67,6,5,4,36,29,178,55,36
"MARLY ANDREA DELGADO PANTOJA",12,1,671,3,0,0,14,16,5,12,0,1,25,17,0,11,0,3,9,8,0,3,6,6,2,10,8,15,3,2,0,4,7,2,47,3,1,11,0,0,4,0,449,14,5,0,1,4,3,0,20,5,13,14,5,9,3,12,1,5,7,19,15,25
"PARTIDO CONSERVADOR COLOMBIANO",1039,519,1807,1309,1603,1059,1569,2135,494,1030,875,1508,550,2138,547,1027,2026,627,1988,3072,573,324,1342,3625,956,1122,2166,8008,4348,1656,961,154,4753,465,1177,981,371,787,988,1288,949,1111,26599,822,2222,1214,1592,3168,2013,410,2606,1808,2340,2036,1156,2282,71,444,892,2047,533,10204,6941,663
"SOLO LISTA PARTIDO CONSERVADOR COLOMBIANO",112,40,101,81,232,51,179,137,63,99,41,73,65,191,105,227,130,42,64,377,97,25,130,189,68,185,133,668,172,111,60,18,404,53,78,93,10,47,95,65,100,41,2315,66,175,36,99,234,155,141,192,119,181,175,87,189,12,21,32,336,44,984,357,75
"OSCAR FERNANDO BRAVO REALPE",530,90,202,318,981,271,751,790,268,419,101,226,254,381,217,488,194,244,607,731,250,78,91,382,135,425,108,1911,1658,1123,161,57,1863,239,370,589,215,73,48,118,368,305,8040,227,387,269,428,1040,120,152,1275,411,1584,1679,489,804,9,176,54,1158,272,3443,382,294
