"nombre","ABREGO","ARBOLEDAS","BOCHALEMA","BUCARASICA","CACHIRA","CACOTA","CHINACOTA","CHITAGA","CONVENCION","CUCUTA","CUCUTILLA","DURANIA","EL CARMEN","EL TARRA","EL ZULIA","GRAMALOTE","HACARI","HERRAN","LA ESPERANZA","LA PLAYA","LABATECA","LOS PATIOS","LOURDES","MUTISCUA","OCAÃA","PAMPLONA","PAMPLONITA","PUERTO SANTANDER","RAGONVALIA","SALAZAR","SAN CALIXTO","SAN CAYETANO","SANTIAGO","SARDINATA","SILOS","TEORAMA","TIBU","TOLEDO","VILLA CARO","VILLA DEL ROSARIO"
"PARTIDO CONSERVADOR COLOMBIANO",4220,1045,539,1026,994,307,1959,228,1798,53466,2107,565,150,991,1678,1293,827,707,1279,2422,504,4928,1125,426,19580,5327,1051,1304,862,1211,890,707,830,2187,154,1161,2840,1746,795,5456
"SOLO LISTA PARTIDO CONSERVADOR COLOMBIANO",297,61,19,38,48,10,105,7,71,4199,104,14,6,64,208,78,212,64,75,111,51,330,60,28,1241,421,84,89,70,100,52,81,22,134,11,66,295,163,42,489
"CIRO ANTONIO RODRIGUEZ PINZON",3030,108,19,861,528,30,270,31,1432,13722,102,458,93,861,301,350,368,14,1031,2252,82,761,278,256,14774,374,54,848,120,190,767,69,442,978,15,1043,299,206,541,1108
"JUAN CARLOS GARCIA GOMEZ",435,469,334,64,132,86,1201,120,221,20945,945,29,16,40,805,92,126,189,77,29,282,2042,20,69,2111,2423,605,245,211,253,12,249,243,393,34,22,1379,759,73,2463
"CARLOS EDUARDO LEON CELIS",385,391,136,41,259,159,286,66,17,11919,919,50,29,14,302,715,107,415,39,8,64,1504,748,67,1220,1933,279,75,439,572,45,288,101,630,82,21,752,563,129,1133
"CLARA MILENA SANTAELLA BEDOYA",44,8,28,16,20,19,71,3,9,1448,14,11,3,6,40,27,7,19,26,13,15,167,9,5,141,107,18,21,10,27,6,11,9,32,10,7,82,29,8,166
"ESTELA ROPERO SANCHEZ",29,8,3,6,7,3,26,1,48,1233,23,3,3,6,22,31,7,6,31,9,10,124,10,1,93,69,11,26,12,69,8,9,13,20,2,2,33,26,2,97
"PARTIDO DE LA U",2145,1529,543,540,1446,167,988,808,1374,32067,428,571,660,110,2036,172,81,84,1103,38,303,5771,64,504,2260,3230,415,510,345,394,86,521,434,1631,581,64,537,854,463,3993
"SOLO LISTA PARTIDO DE LA U",190,91,33,24,82,18,79,109,36,3070,30,42,38,13,176,13,7,7,77,6,20,429,7,29,365,253,41,49,39,21,8,85,22,107,71,5,76,88,32,452
"WILMER RAMIRO CARRILLO MENDOZA",1487,1360,145,397,1152,93,285,159,1276,9206,356,203,40,68,937,15,37,58,770,11,45,1985,8,381,1202,1660,340,211,177,212,6,140,358,1189,211,14,217,510,346,828
