"nombre","PROVIDENCIA","SAN ANDRES"
"MOVIMIENTO DE INTEGRACION REGIONAL",563,3877
"SOLO LISTA MOVIMIENTO DE INTEGRACION REGIONAL",563,3877
"JULIO EUGENIO GALLARDO ARCHBOLD",0,0
"OLGA LUCIA OLSEN VASQUEZ",0,0
"ANTONY JOSE RADA MEZA",0,0
"PARTIDO CAMBIO RADICAL",339,2166
"SOLO LISTA PARTIDO CAMBIO RADICAL",51,615
"LIGIA ROJAS LOBO",155,1081
"KATIA ELENA OUTTEN LYNTON",131,407
"EDUARDO JOSE ARENAS SINISTERRA",2,63
"PARTIDO LIBERAL COLOMBIANO",319,4403
"SOLO LISTA PARTIDO LIBERAL COLOMBIANO",319,4403
"JACK HOUSNI JALLER",0,0
"LINDSAY CARLOS BENT LLERENA",0,0
"IDANIA MIRELLA SJOGREEN BROWN",0,0
"PARTIDO DE LA U",231,1511
"SOLO LISTA PARTIDO DE LA U",53,454
"PHILIP MARTIN HUFFINGTON ARCHBOLD",131,28
"MARIA TERESA URIBE BENT",37,921
"JUAN FERNANDO LAZARO CORREAL CARRILLO",10,108
"MOVIMIENTO "" MIRA """,19,322
"SOLO LISTA MOVIMIENTO "" MIRA """,10,198
"JOSE ANTONIO PAMPLONA JIMENEZ",9,124
"PARTIDO OPCION CIUDADANA",14,334
"SOLO LISTA PARTIDO OPCION CIUDADANA",5,70
"CORDELL IVAN NICHOLSON CARLSON",5,168
"HECTOR ANTONIO HERNANDEZ QUINTANA",4,96
