"nombre","AGUADA","ALBANIA","ARATOCA","BARBOSA","BARICHARA","BARRANCABERMEJA","BETULIA","BOLIVAR","BUCARAMANGA","CABRERA","CALIFORNIA","CAPITANEJO","CARCASI","CEPITA","CERRITO","CHARALA","CHARTA","CHIMA","CHIPATA","CIMITARRA","CONCEPCION","CONFINES","CONTRATACION","COROMORO","CURITI","EL CARMEN","EL GUACAMAYO","EL PEÃON","EL PLAYON","ENCINO","ENCISO","FLORIAN","FLORIDABLANCA","GALAN","GAMBITA","GIRON","GUACA","GUADALUPE","GUAPOTA","GUAVATA","GUEPSA","HATO","JESUS MARIA","JORDAN","LA BELLEZA","LA PAZ","LANDAZURI","LEBRIJA","LOS SANTOS","MACARAVITA","MALAGA","MATANZA","MOGOTES","MOLAGAVITA","OCAMONTE","OIBA","ONZAGA","PALMAR","PALMAS DEL SOCORRO","PARAMO","PIEDECUESTA","PINCHOTE","PUENTE NACIONAL","PUERTO PARRA","PUERTO WILCHES","RIONEGRO","SABANA DE TORRES","SAN ANDRES","SAN BENITO","SAN GIL","SAN JOAQUIN","SAN JOSE DE MIRANDA","SAN MIGUEL","SAN VICENTE DE CHUCURI","SANTA BARBARA","SANTA HELENA DEL OPON","SIMACOTA","SOCORRO","SUAITA","SUCRE","SURATA","TONA","VALLE DE SAN JOSE","VELEZ","VETAS","VILLANUEVA","ZAPATOCA"
"PARTIDO OPCION CIUDADANA",425,439,1679,1146,1481,5625,581,2163,35329,581,309,579,591,376,837,1294,1408,116,829,2607,1093,339,162,804,2031,1515,540,709,2313,389,656,343,14707,520,397,12492,1235,859,311,623,105,175,160,144,1203,657,1716,3238,1227,262,2363,1337,1051,804,358,1115,376,319,388,452,6852,1191,903,894,4337,3650,1873,1856,773,4375,274,1138,456,1913,423,507,620,2300,1623,929,414,333,780,1478,243,1195,1044
"SOLO LISTA PARTIDO OPCION CIUDADANA",16,24,100,64,31,372,36,100,1258,17,11,34,22,12,29,69,37,10,63,201,45,12,8,49,100,85,37,36,189,25,22,16,639,24,38,473,42,36,16,22,2,6,9,11,38,27,205,182,60,12,137,35,57,33,24,49,27,14,15,7,278,64,46,46,274,194,148,96,38,261,7,46,27,126,34,23,41,70,118,53,19,48,30,92,7,36,34
"MARIA EUGENIA TRIANA VARGAS",277,93,894,179,98,1503,95,197,5786,344,17,81,280,104,400,292,462,90,12,911,734,157,67,253,651,247,249,267,1009,118,130,21,2394,77,278,5362,179,90,58,21,25,100,8,75,219,373,234,771,437,148,436,327,312,72,56,530,168,211,61,367,1522,802,195,136,621,635,254,342,130,1990,125,94,108,241,51,358,377,781,926,399,67,93,270,420,51,345,176
"MARIA JACKELINE NORATTO HERNANDEZ",70,19,9,29,2,131,4,7,286,0,0,1,4,14,4,10,3,0,10,36,6,5,2,4,14,5,3,5,7,0,1,3,154,1,3,109,2,1,1,6,0,4,2,0,2,3,16,23,15,1,23,1,4,0,3,14,6,1,4,2,48,8,9,21,33,20,13,6,19,94,0,11,3,16,6,8,11,15,28,3,1,4,2,8,2,8,2
"FREDY ANTONIO ANAYA MARTINEZ",38,82,338,172,54,629,61,646,11719,109,215,121,49,44,171,118,101,8,29,136,172,13,25,97,249,101,16,40,194,19,206,19,4701,86,25,2623,140,37,49,40,29,5,13,5,50,43,97,466,221,37,716,522,152,641,14,276,32,44,66,24,2078,31,59,50,750,1308,540,581,63,1289,42,231,80,446,112,51,31,267,315,74,89,49,108,176,30,118,146
"OSCAR LEONARDO VILLAMIZAR MENESES",16,184,81,104,114,732,15,68,3808,101,11,51,66,56,53,117,7,2,29,681,74,26,34,166,464,117,51,48,64,157,28,101,1729,32,25,968,241,183,48,135,15,5,5,41,101,6,271,322,113,21,211,55,290,19,44,71,37,8,115,34,848,148,46,408,850,647,91,477,7,278,94,93,57,32,96,16,50,325,112,78,145,21,296,319,84,91,18
"ANA DE DIOS TARAZONA GARCIA",4,23,13,34,52,95,18,20,885,0,0,21,12,2,24,25,10,0,5,66,14,19,6,5,28,41,3,4,24,2,4,21,690,17,12,142,2,45,15,44,10,23,11,1,35,18,23,78,13,4,60,8,18,13,7,105,7,31,8,5,351,5,14,28,47,52,70,11,15,46,3,18,7,34,24,24,15,74,54,55,2,9,8,45,5,1,45
"RICARDO FLOREZ RUEDA",3,13,242,550,1115,1652,342,1123,9637,8,17,262,157,144,154,661,787,5,681,572,46,107,20,225,508,905,180,308,749,68,262,159,4165,283,16,2603,623,462,124,351,23,31,99,11,698,187,869,948,361,38,691,376,215,26,208,66,98,9,87,13,1596,132,532,204,1703,728,691,337,500,350,3,625,172,1006,97,27,48,735,61,266,84,103,65,388,37,596,621
"CELESTINO MOJICA PEÃA",1,1,2,14,15,511,10,2,1950,2,38,8,1,0,2,2,1,1,0,4,2,0,0,5,17,14,1,1,77,0,3,3,235,0,0,212,6,5,0,4,1,1,13,0,60,0,1,448,7,1,89,13,3,0,2,4,1,1,32,0,131,1,2,1,59,66,66,6,1,67,0,20,2,12,3,0,47,33,9,1,7,6,1,30,27,0,2
"PARTIDO CONSERVADOR COLOMBIANO",239,170,116,486,771,1713,123,289,12841,52,125,394,64,19,17,735,155,58,100,123,16,179,266,123,555,395,40,334,267,33,231,30,6217,75,33,2033,146,176,38,105,59,24,514,291,655,478,237,913,511,387,404,377,581,417,628,288,493,9,261,689,7006,46,502,27,206,161,185,141,31,2786,328,271,134,78,88,47,55,959,49,313,420,245,221,779,171,424,285
"SOLO LISTA PARTIDO CONSERVADOR COLOMBIANO",11,16,6,56,79,242,14,27,865,4,14,40,12,1,1,24,5,4,5,24,2,16,12,21,25,28,7,24,35,3,17,5,680,9,6,262,16,21,3,5,5,2,15,23,32,16,13,90,57,21,48,17,44,24,50,30,43,2,27,16,624,7,60,5,25,29,33,33,2,236,12,15,6,16,13,3,9,68,4,33,20,22,16,76,12,33,23
"LINA MARIA BARRERA RUEDA",215,126,76,230,492,462,90,162,3619,15,85,291,27,14,4,80,124,41,64,36,6,130,233,54,220,302,23,282,147,18,169,12,2522,53,10,861,75,113,10,64,25,4,473,252,583,439,191,534,371,338,222,315,458,343,498,205,383,2,203,637,5095,28,320,7,26,54,71,26,20,2136,279,226,97,27,36,32,23,631,24,249,360,180,154,561,136,266,80
"MABEL MOSQUERA MENA",3,0,3,11,7,57,0,5,571,0,0,4,0,1,0,13,0,2,3,12,2,6,2,0,8,8,1,0,19,1,1,2,258,0,1,85,0,1,3,4,6,1,4,3,4,2,6,20,1,1,21,2,8,1,3,7,7,1,0,14,103,0,6,3,4,11,3,5,0,33,8,2,1,1,2,1,3,41,6,4,2,9,3,5,1,10,0
"JANETH TORRES CHACON",3,8,9,23,12,86,1,6,390,11,0,14,4,1,1,27,2,6,8,6,1,9,3,11,246,11,2,3,5,6,24,6,262,2,7,68,12,17,19,7,3,14,2,5,5,4,6,29,10,14,22,8,42,17,17,12,5,0,11,7,69,7,11,8,67,15,8,15,1,99,4,6,5,7,13,2,4,61,4,9,9,1,33,44,6,30,2
"ALIRIO ENRIQUE SOTOMONTE MOTTA",3,2,2,46,8,131,0,9,478,0,3,3,0,1,2,522,1,2,1,8,0,1,4,18,4,2,0,2,13,4,2,0,352,0,0,95,8,0,0,4,0,0,3,1,3,3,3,18,8,3,18,5,5,4,8,10,6,0,2,2,371,0,17,0,6,10,21,3,1,47,9,3,3,2,2,1,1,13,2,3,6,3,0,18,1,2,5
"CARLOS PLATA CASTILLA",2,7,6,70,161,610,12,56,5841,1,2,22,7,0,6,46,12,1,15,31,3,11,7,14,28,26,5,18,26,1,6,3,1226,6,4,352,15,22,2,13,4,1,12,3,21,1,15,56,43,6,31,13,11,8,28,14,36,2,9,11,376,3,51,4,44,14,30,14,6,111,6,11,6,19,5,3,10,103,4,9,7,13,6,35,9,57,147
"DARIO ARNALDO VASQUEZ ROCHA",2,10,8,23,6,79,4,23,723,20,13,19,13,1,3,14,11,1,4,6,2,5,5,5,22,16,1,4,17,0,12,0,778,5,4,264,19,2,1,7,8,2,5,2,4,11,3,152,19,3,41,16,11,19,23,10,11,2,8,1,300,1,28,0,28,27,15,43,1,103,10,8,16,6,17,4,2,32,5,5,15,17,7,32,6,22,28
"CARLOS ARTURO SANTOYO BECERRA",0,1,6,27,6,46,2,1,354,1,8,1,1,0,0,9,0,1,0,0,0,1,0,0,2,2,1,1,5,0,0,2,139,0,1,46,1,0,0,1,8,0,0,2,3,2,0,14,2,1,1,1,2,1,1,0,2,0,1,1,68,0,9,0,6,1,4,2,0,21,0,0,0,0,0,1,3,10,0,1,1,0,2,8,0,4,0
"PARTIDO LIBERAL COLOMBIANO",13,136,505,2980,375,9602,392,329,37923,11,57,438,414,500,543,549,66,693,598,4342,613,366,311,281,653,815,44,111,432,442,385,1246,13360,70,93,8623,756,81,392,960,1258,420,278,5,54,36,1159,2336,1185,143,715,195,469,89,530,1147,277,266,168,364,5177,211,1642,491,1933,1194,1974,711,284,2472,220,109,157,1703,100,277,895,2863,1265,265,137,1137,577,1645,12,86,179
"SOLO LISTA PARTIDO LIBERAL COLOMBIANO",3,32,75,225,47,1300,44,68,2711,0,11,33,50,31,63,31,1,62,88,395,71,45,52,47,74,75,8,33,67,28,42,136,1076,2,18,709,50,14,39,94,103,43,40,0,8,9,259,198,116,16,67,26,49,6,41,117,39,18,26,31,476,44,180,63,230,143,192,56,11,228,21,11,18,167,6,20,107,217,196,30,13,196,42,169,2,12,32
