"nombre","BUENAVISTA","CAIMITO","CHALAN","COLOSO (RICAURTE)","COROZAL","COVEÃAS","EL ROBLE","GALERAS (NUEVA GRANADA)","GUARANDA","LA UNION","LOS PALMITOS","MAJAGUAL","MORROA","OVEJAS","PALMITO","SAMPUES","SAN BENITO ABAD","SAN JUAN DE BETULIA (BETULIA)","SAN MARCOS","SAN ONOFRE","SAN PEDRO","SINCE","SINCELEJO","SUCRE","TOLU","TOLUVIEJO"
"MOV. POLITICO CIEN POR CIENTO POR COLOMBIA",2483,1360,1053,1813,5564,3870,2147,4125,2659,3299,3044,4286,2317,2308,1477,6456,4264,3048,6898,6155,2967,3957,37096,5732,5306,2413
"SOLO LISTA MOV. POLITICO CIEN POR CIENTO POR COLOMBIA",2483,1360,1053,1813,5564,3870,2147,4125,2659,3299,3044,4286,2317,2308,1477,6456,4264,3048,6898,6155,2967,3957,37096,5732,5306,2413
"YAHIR FERNANDO ACUÃA CARDALES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CANDELARIA PATRICIA ROJAS VERGARA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JOSE CARLOS MIZGER PACHECO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PARTIDO DE LA U",693,2179,414,1417,11150,528,1427,3172,2159,1566,3261,4520,3459,4672,1642,8150,3335,2273,5823,2729,1555,3117,27361,3539,1439,2620
"SOLO LISTA PARTIDO DE LA U",125,192,90,143,1002,101,152,310,309,177,124,733,299,424,99,736,194,231,815,526,166,268,3548,408,282,286
"NICOLAS DANIEL GUERRERO MONTAÃO",472,1578,105,1096,4059,318,720,1503,576,724,1126,1920,2353,2605,758,4110,1334,820,3973,1622,641,2157,13092,1561,561,1397
"ANDRES EDUARDO GOMEZ MARTINEZ",80,380,210,147,5927,95,543,1339,1250,631,1910,1816,775,1601,767,3230,1765,1195,930,513,722,634,10272,1544,558,892
"MELQUIADES ATENCIA GOMEZ",16,29,9,31,162,14,12,20,24,34,101,51,32,42,18,74,42,27,105,68,26,58,449,26,38,45
"PARTIDO OPCION CIUDADANA",646,1068,401,350,2353,181,645,1321,1106,344,3778,3789,739,2933,1492,2142,1516,1014,3470,4941,3195,3229,7941,715,811,3864
"SOLO LISTA PARTIDO OPCION CIUDADANA",90,77,52,39,236,32,72,132,87,42,256,305,83,272,120,301,124,59,335,509,229,152,1168,110,170,282
"DANIEL ALBERTO PIEDRAHITA NUÃEZ",377,38,16,6,249,3,19,46,202,15,82,235,41,139,32,121,68,28,390,244,136,962,488,18,24,60
"EDUARDO ENRIQUE PEREZ SANTOS",173,941,327,300,1836,145,551,1134,808,282,3420,3229,613,2507,1329,1707,1263,920,2703,4157,2797,2096,6172,581,603,3482
"PEDRO LEON MORENO SIERRA",6,12,6,5,32,1,3,9,9,5,20,20,2,15,11,13,61,7,42,31,33,19,113,6,14,40
"PARTIDO LIBERAL COLOMBIANO",254,119,167,37,978,204,101,175,301,117,548,180,111,550,68,330,237,236,458,486,245,1343,4403,170,301,409
"SOLO LISTA PARTIDO LIBERAL COLOMBIANO",66,22,57,10,284,38,25,49,55,24,45,41,28,139,11,133,46,43,98,151,78,409,1691,51,88,77
"CARLOS ANGEL FAJARDO CARDOZO",148,64,84,14,301,106,28,75,91,71,23,47,38,32,31,66,114,68,251,86,35,629,1267,71,121,121
"LISANDRO MEZA MARQUEZ",23,7,16,3,231,20,21,19,44,9,414,15,18,67,12,45,32,23,20,63,26,97,438,24,37,41
"LEE JASON AGUDELO SALAZAR",17,26,10,10,162,40,27,32,111,13,66,77,27,312,14,86,45,102,89,186,106,208,1007,24,55,170
"CENTRO DEMOCRÃTICO MANO FIRME CORAZÃN GRANDE",192,41,133,127,1445,241,95,282,299,71,187,710,278,346,74,438,205,244,1467,308,347,506,7190,171,555,173
"SOLO LISTA CENTRO DEMOCRÃTICO MANO FIRME CORAZÃN GRANDE",192,41,133,127,1445,241,95,282,299,71,187,710,278,346,74,438,205,244,1467,308,347,506,7190,171,555,173
"JACKIE ARROYO SIERRA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALVARO EDUARDO LOPEZ HERRERA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PARTIDO ALIANZA VERDE",155,20,17,26,199,12,10,31,71,16,118,57,64,63,10,135,42,135,71,97,115,120,1308,21,39,75
"SOLO LISTA PARTIDO ALIANZA VERDE",17,1,13,7,60,4,4,7,21,5,10,13,18,10,3,28,10,19,20,28,19,18,308,9,13,11
"CESAR DEL CRISTO CASTRO ARRIETA",114,1,0,2,31,1,0,11,2,2,26,0,3,5,1,18,0,3,12,2,20,11,85,0,2,10
"DIEGO RAFAEL GONZALEZ SILGADO",14,1,2,0,26,1,0,1,1,1,18,3,16,11,0,12,2,6,2,11,17,16,199,2,3,6
"LILIA ISABEL ACOSTA PEREZ",10,17,2,17,82,6,6,12,47,8,64,41,27,37,6,77,30,107,37,56,59,75,716,10,21,48
"PARTIDO CONSERVADOR COLOMBIANO",103,83,43,37,939,252,18,66,37,62,195,122,114,98,129,179,235,227,322,428,114,186,1399,127,168,50
