"nombre","ALPUJARRA","ALVARADO","AMBALEMA","ANZOATEGUI","ARMERO (GUAYABAL)","ATACO","CAJAMARCA","CARMEN DE APICALA","CASABIANCA","CHAPARRAL","COELLO","COYAIMA","CUNDAY","DOLORES","ESPINAL","FALAN","FLANDES","FRESNO","GUAMO","HERVEO","HONDA","IBAGUE","ICONONZO","LERIDA","LIBANO","MARIQUITA","MELGAR","MURILLO","NATAGAIMA","ORTEGA","PALOCABILDO","PIEDRAS","PLANADAS","PRADO","PURIFICACION","RIOBLANCO","RONCESVALLES","ROVIRA","SALDAÃA","SAN ANTONIO","SAN LUIS","SANTA ISABEL","SUAREZ","VALLE DE SAN JUAN","VENADILLO","VILLAHERMOSA","VILLARRICA"
"PARTIDO CONSERVADOR COLOMBIANO",1017,128,186,969,159,417,584,397,1152,717,1058,390,905,149,6857,317,1149,3495,4963,1772,682,23929,128,737,2581,516,2931,822,1273,3861,553,229,536,403,3285,558,369,2968,1799,1602,1717,1398,794,1579,450,1830,104
"SOLO LISTA PARTIDO CONSERVADOR COLOMBIANO",62,15,9,110,7,74,53,44,98,138,65,80,52,19,613,52,113,360,610,121,32,1986,20,47,327,85,315,108,212,474,31,32,82,29,375,61,33,213,123,177,315,100,52,153,51,167,19
"MIGUEL ANGEL BARRETO CASTILLO",639,22,35,239,10,52,115,10,489,285,469,28,176,47,1098,45,31,170,2512,300,34,6767,14,484,897,49,52,37,91,840,7,40,141,48,884,380,8,833,630,783,349,698,247,261,56,958,28
"ALFREDO BOCANEGRA VARON",217,18,36,10,20,18,172,49,12,47,43,68,243,20,742,25,418,676,433,255,310,4499,32,50,51,89,711,3,539,279,22,52,56,62,485,7,65,1030,75,41,95,20,75,145,23,10,17
"JOSE ELVER HERNANDEZ CASAS",68,25,72,479,74,196,110,256,381,105,292,135,255,44,1423,149,207,1869,279,794,205,5623,49,84,1142,96,1523,658,352,629,453,45,102,194,826,53,93,612,419,366,709,283,276,910,233,626,30
"HERNANDO CARDENAS CARDOSO",20,33,31,121,35,22,104,20,133,47,170,52,160,16,2807,33,350,264,1015,274,74,4024,5,51,85,160,139,2,29,1514,33,48,101,60,615,19,159,97,465,193,190,278,126,71,62,36,2
"FRANCY JANETH PEREZ",7,12,2,4,8,46,14,16,29,52,14,23,13,1,76,12,10,130,46,11,17,374,3,14,43,23,151,12,40,61,5,7,25,6,45,32,2,33,57,24,31,9,9,22,17,15,7
"MARTA LUCIA HOMEZ VANEGAS",4,3,1,6,5,9,16,2,10,43,5,4,6,2,98,1,20,26,68,17,10,656,5,7,36,14,40,2,10,64,2,5,29,4,55,6,9,150,30,18,28,10,9,17,8,18,1
"PARTIDO DE LA U",310,911,559,1250,1160,2069,1369,1214,711,3068,436,1983,1503,682,2565,475,1346,2630,1361,483,1828,22865,1837,1469,1124,4251,3591,59,1262,1339,977,149,1075,759,2416,581,262,1766,1207,1295,1449,341,204,306,293,381,1119
"SOLO LISTA PARTIDO DE LA U",11,57,31,101,107,167,135,76,26,351,37,389,82,55,307,48,155,466,193,36,111,2230,144,86,225,325,336,14,173,146,97,30,155,84,304,70,23,96,100,88,179,32,16,30,54,32,134
"CARLOS EDWARD OSORIO AGUIAR",239,684,429,838,438,805,986,552,633,1007,268,304,324,175,557,338,859,1653,415,369,843,10449,370,451,348,1759,2220,26,461,691,677,21,155,163,219,263,195,302,432,970,195,252,52,215,137,185,436
"MERY YANETH RAMIREZ MAHECHA",19,10,7,18,15,21,35,5,3,27,4,26,14,9,27,4,24,20,17,2,21,295,18,4,25,39,35,0,17,15,9,6,13,5,10,4,1,14,13,53,13,3,1,2,5,5,22
"ARCADIO JOSE ALMANSA IGLESIAS",15,23,16,3,47,17,75,10,6,49,12,38,12,20,94,16,43,80,30,6,100,1949,36,24,46,101,61,0,16,26,20,9,57,23,29,14,7,74,11,4,33,3,3,5,12,0,15
"JAIME ARMANDO YEPES MARTINEZ",14,74,59,262,513,994,63,539,18,1446,77,1163,1042,415,1513,40,195,337,636,54,688,6873,1241,828,427,1849,838,16,551,427,139,48,591,470,1822,181,29,1207,598,138,999,29,129,32,57,136,499
"LUZ MARINA ROJAS TRIANA",11,8,11,11,19,15,32,7,20,24,8,15,10,5,26,9,58,49,55,13,26,552,10,15,29,52,68,0,10,16,11,6,46,7,17,19,5,59,32,27,21,15,2,12,6,21,7
"HECTOR HERNANDO HINCAPIE CARVAJAL",1,55,6,17,21,50,43,25,5,164,30,48,19,3,41,20,12,25,15,3,39,517,18,61,24,126,33,3,34,18,24,29,58,7,15,30,2,14,21,15,9,7,1,10,22,2,6
