"nombre","ALCALA","ANDALUCIA","ANSERMANUEVO","ARGELIA","BOLIVAR","BUENAVENTURA","BUGA","BUGALAGRANDE","CAICEDONIA","CALI","CALIMA (DARIEN)","CANDELARIA","CARTAGO","DAGUA","EL AGUILA","EL CAIRO","EL CERRITO","EL DOVIO","FLORIDA","GINEBRA","GUACARI","JAMUNDI","LA CUMBRE","LA UNION","LA VICTORIA","OBANDO","PALMIRA","PRADERA","RESTREPO","RIOFRIO","ROLDANILLO","SAN PEDRO","SEVILLA","TORO","TRUJILLO","TULUA","ULLOA","VERSALLES","VIJES","YOTOCO","YUMBO","ZARZAL"
"PARTIDO DE LA U",1488,1564,826,204,478,9205,8407,2588,748,65194,916,3023,6263,3146,677,216,4246,667,1747,1202,3343,6796,664,1359,295,442,29040,3489,714,1067,1861,2068,2672,774,810,18673,845,700,359,2186,1882,2898
"SOLO LISTA PARTIDO DE LA U",275,128,145,40,71,1064,625,235,156,6184,83,307,766,380,77,26,557,75,146,147,300,818,52,225,46,98,2319,265,61,96,146,168,365,122,75,1573,72,72,53,169,239,332
"ELBERT DIAZ LOZANO",621,96,61,2,22,308,375,172,200,5840,367,1069,402,66,370,8,781,19,537,265,354,270,36,177,11,21,18544,1122,317,28,106,71,527,52,24,981,579,11,33,1185,456,1021
"OLIVERIO HOYOS SALCEDO",156,367,102,92,27,445,1151,270,138,12441,22,236,508,281,40,12,346,25,188,162,87,347,40,105,14,13,2426,1186,32,58,301,29,181,39,30,1000,1,37,38,48,140,265
"ESPERANZA DELGADO MOTOA",136,47,34,13,157,393,369,64,59,4915,82,283,626,182,63,8,394,38,188,85,252,690,70,75,20,27,2644,302,56,83,139,102,75,56,35,1505,86,8,31,323,355,195
"JUAN CARLOS MARTINEZ GUTIERREZ",93,262,14,22,24,3477,377,249,141,7765,68,293,264,219,44,51,146,440,174,64,80,330,395,135,22,167,579,67,20,87,307,161,1179,46,58,869,4,522,135,84,163,133
"RAFAEL EDUARDO PALAU SALAZAR",69,223,357,5,154,1370,4065,418,13,2053,230,50,1654,36,6,57,28,20,87,7,139,112,9,203,83,18,148,175,38,626,356,1332,141,241,396,8071,0,8,5,35,38,690
"GERMAN MEDINA SCARPETTA",38,8,11,0,0,661,384,35,3,2472,5,91,731,1139,40,4,15,6,23,5,11,500,11,66,9,3,259,14,27,3,13,13,16,97,5,86,60,12,8,13,49,23
"JUAN CARLOS MEJIA CABEZA",37,31,14,8,1,432,485,86,8,4675,12,274,216,69,3,6,111,3,160,45,35,179,10,62,20,38,700,191,9,13,33,48,23,3,34,618,6,4,15,38,254,72
"JULIO EDGAR ARBOLEDA BLANQUICET",27,7,11,1,2,373,110,26,4,1422,11,20,187,27,1,1,14,1,12,9,43,196,1,27,4,4,94,66,19,7,21,18,7,3,12,133,1,1,5,13,12,16
"JORGE ELIECER TAMAYO MARULANDA",25,358,15,3,14,379,282,983,8,14898,8,210,691,620,8,5,1754,22,130,381,1972,3226,15,194,35,26,363,32,114,30,398,81,37,73,119,3388,21,4,26,252,113,78
"CLAUDIA CASTRILLON CAICEDO",5,21,48,15,3,83,45,14,5,643,11,15,110,72,20,19,7,0,19,3,17,36,7,48,17,10,120,10,3,19,25,8,21,27,8,137,13,4,8,5,17,32
"ALMA GARDEAZABAL MERCADO",2,11,7,3,1,63,58,21,6,936,7,106,34,5,1,6,44,5,53,9,11,31,2,23,6,3,352,9,4,9,8,12,88,2,6,157,1,0,1,6,10,8
"LUIS ARMANDO ROA POSSO",2,3,7,0,2,126,52,7,4,507,6,63,45,26,3,13,14,13,25,14,32,16,8,13,7,10,402,44,14,6,6,13,7,10,3,107,1,15,0,1,14,25
"LUZ STELLA DIAZ VARON",2,2,0,0,0,31,29,8,3,443,4,6,29,24,1,0,35,0,5,6,10,45,8,6,1,4,90,6,0,2,2,12,5,3,5,48,0,2,1,14,22,8
