"nombre","BUENOS AIRES (PACOA)","CARURU","MITU","MORICHAL (PAPUNAGUA)","TARAIRA","YAVARATE"
"MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA",192,144,1842,21,29,113
"SOLO LISTA MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA",24,8,52,1,2,7
"JESUS MARIA VASQUEZ CAICEDO",84,45,1005,0,5,34
"GUILLERMO OTERO ZAMBRANO",81,89,640,20,20,72
"CARLOS ALBERTO OTALORA PINZON",3,2,145,0,2,0
"PARTIDO CAMBIO RADICAL",149,291,2292,1,233,180
"SOLO LISTA PARTIDO CAMBIO RADICAL",15,13,68,0,9,11
"FRANCISCO JAVIER RAMIREZ LOPEZ",66,30,1149,1,20,89
"JAIR ARANGO TORRES",64,238,998,0,198,76
"RAYOL SARMIENTO PIÃEROS",4,10,77,0,6,4
"PARTIDO LIBERAL COLOMBIANO",39,291,1997,17,79,115
"SOLO LISTA PARTIDO LIBERAL COLOMBIANO",2,48,64,0,2,4
"NORBEY MARULANDA MUÃOZ",20,219,895,9,58,56
"IVAN DARIO SANDOVAL PERILLA",13,19,313,4,5,8
"ALCIRA GONZALEZ RAMIREZ",4,5,725,4,14,47
"PARTIDO OPCION CIUDADANA",11,8,869,0,6,14
"SOLO LISTA PARTIDO OPCION CIUDADANA",4,0,34,0,0,0
"DANIEL BERNAL CORDOBA",4,8,730,0,5,13
"LUIS ALEJANDRO VARGAS MORENO",3,0,30,0,1,1
"WILLIAM ARLEY TABORDA FRANCO",0,0,75,0,0,0
"PARTIDO DE LA U",7,55,496,0,6,24
"SOLO LISTA PARTIDO DE LA U",1,2,30,0,0,5
"CLARA INES SANTACRUZ RESTREPO",6,6,405,0,2,14
"JACKELINE VALENCIA RODRIGUEZ",0,41,19,0,0,1
"PEDRO PABLO CHAGRES LOPEZ",0,6,42,0,4,4
