"Nombre","Partido","Amazonas","Antioquia","Arauca","Atlántico","Bogotá","Bolívar","Boyacá","Caldas","Caquetá","Casanare","Cauca","Cesar","Chocó","Córdoba","Cundinamarca","Guainía","Guaviare","Huila","La Guajira","Magdalena","Meta","Nariño","Norte de Santander","Putumayo","Quindío","Risaralda","SanAndrés","Santander","Sucre","Tolima","Valle del Cauca","Vaupés","Vichada","Consulados"
"SOLO LISTA CENTRO DEMOCRÁTICO","CDMFCG",3629,436896,18934,42326,373798,48136,49680,67630,21509,31736,25706,36348,4679,42973,133349,1807,5074,73398,9513,27867,66198,26759,58203,6147,37835,54231,2751,90870,22503,82360,127770,573,4272,10104
"ALVARO URIBE VELEZ","CDMFCG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MARIA DEL ROSARIO GUERRA DE LA ESPRIELLA","CDMFCG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PALOMA SUSANA VALENCIA LASERNA","CDMFCG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANA MERCEDES GOMEZ MARTINEZ","CDMFCG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SUSANA CORREA BORRERO","CDMFCG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALFREDO RANGEL SUAREZ","CDMFCG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IVAN DUQUE MARQUEZ","CDMFCG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FERNANDO NICOLAS ARAUJO RUMIE","CDMFCG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JOSE OBDULIO GAVIRIA VELEZ","CDMFCG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ORLANDO CASTAÑEDA SERRANO","CDMFCG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DANIEL ALBERTO CABRALES CASTILLO","CDMFCG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
