"municipio","departamento","cod.dane","cod.reg"
"EL ENCANTO","Amazonas",91263,"60010"
"LA CHORRERA","Amazonas",91405,"60013"
"LA PEDRERA","Amazonas",91407,"60016"
"LA VICTORIA","Amazonas",91430,"60017"
"LETICIA","Amazonas",91001,"60001"
"MIRITI PARANA","Amazonas",91460,"60019"
"PUERTO ALEGRIA","Amazonas",91530,"60030"
"PUERTO ARICA","Amazonas",91536,"60040"
"PUERTO NARIÃO","Amazonas",91540,"60007"
"PUERTO SANTANDER","Amazonas",91669,"60021"
"TARAPACA","Amazonas",91798,"60022"
"ABEJORRAL","Antioquia",5002,"01004"
"ABRIAQUI","Antioquia",5004,"01007"
"ALEJANDRIA","Antioquia",5021,"01010"
"AMAGA","Antioquia",5030,"01013"
"AMALFI","Antioquia",5031,"01016"
"ANDES","Antioquia",5034,"01019"
"ANGELOPOLIS","Antioquia",5036,"01022"
"ANGOSTURA","Antioquia",5038,"01025"
"ANORI","Antioquia",5040,"01028"
"ANTIOQUIA","Antioquia",5042,"01031"
"ANZA","Antioquia",5044,"01034"
"APARTADO","Antioquia",5045,"01035"
"ARBOLETES","Antioquia",5051,"01037"
"ARGELIA","Antioquia",5055,"01039"
"ARMENIA","Antioquia",5059,"01040"
"BARBOSA","Antioquia",5079,"01043"
"BELLO","Antioquia",5088,"01049"
"BELMIRA","Antioquia",5086,"01046"
"BETANIA","Antioquia",5091,"01052"
"BETULIA","Antioquia",5093,"01055"
"BOLIVAR","Antioquia",5101,"01058"
"BRICEÃO","Antioquia",5107,"01062"
"BURITICA","Antioquia",5113,"01061"
"CACERES","Antioquia",5120,"01064"
"CAICEDO","Antioquia",5125,"01067"
"CALDAS","Antioquia",5129,"01070"
"CAMPAMENTO","Antioquia",5134,"01073"
"CAÃASGORDAS","Antioquia",5138,"01076"
"CARACOLI","Antioquia",5142,"01078"
"CARAMANTA","Antioquia",5145,"01079"
"CAREPA","Antioquia",5147,"01080"
"CARMEN DE VIBORAL","Antioquia",5148,"01082"
"CAROLINA","Antioquia",5150,"01085"
"CAUCASIA","Antioquia",5154,"01088"
"CHIGORODO","Antioquia",5172,"01106"
"CISNEROS","Antioquia",5190,"01091"
"COCORNA","Antioquia",5197,"01094"
"CONCEPCION","Antioquia",5206,"01097"
"CONCORDIA","Antioquia",5209,"01100"
"COPACABANA","Antioquia",5212,"01103"
"DABEIBA","Antioquia",5234,"01109"
"DON MATIAS","Antioquia",5237,"01112"
"EBEJICO","Antioquia",5240,"01115"
"EL BAGRE","Antioquia",5250,"01117"
"ENTRERRIOS","Antioquia",5264,"01118"
"ENVIGADO","Antioquia",5266,"01121"
"FREDONIA","Antioquia",5282,"01124"
"FRONTINO","Antioquia",5284,"01127"
"GIRALDO","Antioquia",5306,"01130"
"GIRARDOTA","Antioquia",5308,"01133"
"GOMEZ PLATA","Antioquia",5310,"01136"
"GRANADA","Antioquia",5313,"01139"
"GUADALUPE","Antioquia",5315,"01140"
"GUARNE","Antioquia",5318,"01142"
"GUATAPE","Antioquia",5321,"01145"
"HELICONIA","Antioquia",5347,"01148"
"HISPANIA","Antioquia",5353,"01150"
"ITAGUI","Antioquia",5360,"01151"
"ITUANGO","Antioquia",5361,"01154"
"JARDIN","Antioquia",5364,"01157"
"JERICO","Antioquia",5368,"01160"
"LA CEJA","Antioquia",5376,"01163"
"LA ESTRELLA","Antioquia",5380,"01166"
"LA PINTADA","Antioquia",5390,"01170"
"LA UNION","Antioquia",5400,"01169"
"LIBORINA","Antioquia",5411,"01172"
"MACEO","Antioquia",5425,"01175"
"MARINILLA","Antioquia",5440,"01178"
"MEDELLIN","Antioquia",5001,"01001"
"MONTEBELLO","Antioquia",5467,"01181"
"MURINDO","Antioquia",5475,"01184"
"MUTATA","Antioquia",5480,"01187"
"NARIÃO","Antioquia",5483,"01190"
"NECHI","Antioquia",5495,"01191"
"NECOCLI","Antioquia",5490,"01192"
"OLAYA","Antioquia",5501,"01193"
"PEÃOL","Antioquia",5541,"01196"
"PEQUE","Antioquia",5543,"01199"
"PUEBLORRICO","Antioquia",5576,"01202"
"PUERTO BERRIO","Antioquia",5579,"01205"
"PUERTO NARE-LA MAGDALENA","Antioquia",5585,"01168"
"PUERTO TRIUNFO","Antioquia",5591,"01206"
"REMEDIOS","Antioquia",5604,"01208"
"RETIRO","Antioquia",5607,"01211"
"RIONEGRO","Antioquia",5615,"01214"
"SABANALARGA","Antioquia",5628,"01217"
"SABANETA","Antioquia",5631,"01218"
"SALGAR","Antioquia",5642,"01220"
"SAN ANDRES","Antioquia",5647,"01223"
"SAN CARLOS","Antioquia",5649,"01226"
"SAN FRANCISCO","Antioquia",5652,"01227"
"SAN JERONIMO","Antioquia",5656,"01229"
"SAN JOSE DE LA MONTAÃA","Antioquia",5658,"01230"
"SAN JUAN DE URABA","Antioquia",5659,"01231"
"SAN LUIS","Antioquia",5660,"01232"
"SAN PEDRO","Antioquia",5664,"01235"
"SAN PEDRO DE URABA","Antioquia",5665,"01237"
"SAN RAFAEL","Antioquia",5667,"01238"
"SAN ROQUE","Antioquia",5670,"01241"
"SAN VICENTE","Antioquia",5674,"01244"
"SANTA BARBARA","Antioquia",5679,"01247"
"SANTA ROSA DE OSOS","Antioquia",5686,"01250"
"SANTO DOMINGO","Antioquia",5690,"01253"
"SANTUARIO","Antioquia",5697,"01256"
"SEGOVIA","Antioquia",5736,"01259"
"SONSON","Antioquia",5756,"01262"
"SOPETRAN","Antioquia",5761,"01265"
"TAMESIS","Antioquia",5789,"01268"
"TARAZA","Antioquia",5790,"01270"
"TARSO","Antioquia",5792,"01271"
"TITIRIBI","Antioquia",5809,"01274"
"TOLEDO","Antioquia",5819,"01277"
"TURBO","Antioquia",5837,"01280"
"URAMITA","Antioquia",5842,"01282"
"URRAO","Antioquia",5847,"01283"
"VALDIVIA","Antioquia",5854,"01286"
"VALPARAISO","Antioquia",5856,"01289"
"VEGACHI","Antioquia",5858,"01290"
"VENECIA","Antioquia",5861,"01292"
"VIGIA DEL FUERTE","Antioquia",5873,"01291"
"YALI","Antioquia",5885,"01293"
"YARUMAL","Antioquia",5887,"01295"
"YOLOMBO","Antioquia",5890,"01298"
"YONDO-CASABE","Antioquia",5893,"01300"
"ZARAGOZA","Antioquia",5895,"01301"
"ARAUCA","Arauca",81001,"40001"
"ARAUQUITA","Arauca",81065,"40010"
"CRAVO NORTE","Arauca",81220,"40015"
"FORTUL","Arauca",81300,"40017"
"PUERTO RONDON","Arauca",81591,"40020"
"SARAVENA","Arauca",81736,"40025"
"TAME","Arauca",81794,"40005"
"BARANOA","Atlántico",8078,"03004"
"BARRANQUILLA","Atlántico",8001,"03001"
"CAMPO DE LA CRUZ","Atlántico",8137,"03007"
"CANDELARIA","Atlántico",8141,"03010"
"GALAPA","Atlántico",8296,"03013"
"JUAN DE ACOSTA","Atlántico",8372,"03016"
"LURUACO","Atlántico",8421,"03019"
"MALAMBO","Atlántico",8433,"03022"
"MANATI","Atlántico",8436,"03025"
"PALMAR DE VARELA","Atlántico",8520,"03028"
"PIOJO","Atlántico",8549,"03031"
"POLONUEVO","Atlántico",8558,"03034"
"PONEDERA","Atlántico",8560,"03035"
"PUERTO COLOMBIA","Atlántico",8573,"03037"
"REPELON","Atlántico",8606,"03040"
"SABANAGRANDE","Atlántico",8634,"03043"
"SABANALARGA","Atlántico",8638,"03046"
"SANTA LUCIA","Atlántico",8675,"03047"
"SANTO TOMAS","Atlántico",8685,"03049"
"SOLEDAD","Atlántico",8758,"03052"
"SUAN","Atlántico",8770,"03055"
"TUBARA","Atlántico",8832,"03058"
"USIACURI","Atlántico",8849,"03061"
"BOGOTA. D.C.","Bogotá",11001,"16001"
"ACHI","Bolívar",13006,"05004"
"ALTOS DEL ROSARIO","Bolívar",13030,"05006"
"ARENAL","Bolívar",13042,"05005"
"ARJONA","Bolívar",13052,"05007"
"ARROYO HONDO","Bolívar",13062,"05009"
"BARRANCO DE LOBA","Bolívar",13074,"05010"
"CALAMAR","Bolívar",13140,"05013"
"CANTAGALLO","Bolívar",13160,"05014"
"CARTAGENA","Bolívar",13001,"05001"
"CICUCO","Bolívar",13188,"05015"
"CLEMENCIA","Bolívar",13222,"05018"
"CORDOBA","Bolívar",13212,"05016"
"EL CARMEN DE BOLIVAR","Bolívar",13244,"05022"
"EL GUAMO","Bolívar",13248,"05025"
"EL PEÃON","Bolívar",13268,"05027"
"HATILLO DE LOBA","Bolívar",13300,"05026"
"MAGANGUE","Bolívar",13430,"05028"
"MAHATES","Bolívar",13433,"05031"
"MARGARITA","Bolívar",13440,"05037"
"MARIA LA BAJA","Bolívar",13442,"05040"
"MOMPOS","Bolívar",13468,"05043"
"MONTECRISTO","Bolívar",13458,"05041"
"MORALES","Bolívar",13473,"05044"
"NOROSI","Bolívar",13490,"05050"
"PINILLOS","Bolívar",13549,"05059"
"REGIDOR","Bolívar",13580,"05063"
"RIOVIEJO","Bolívar",13600,"05065"
"SAN CRISTOBAL","Bolívar",13620,"05072"
"SAN ESTANISLAO","Bolívar",13647,"05070"
"SAN FERNANDO","Bolívar",13650,"05073"
"SAN JACINTO","Bolívar",13654,"05076"
"SAN JACINTO DEL CAUCA","Bolívar",13655,"05078"
"SAN JUAN NEPOMUCENO","Bolívar",13657,"05079"
"SAN MARTIN DE LOBA","Bolívar",13667,"05082"
"SAN PABLO","Bolívar",13670,"05084"
"SANTA CATALINA","Bolívar",13673,"05091"
"SANTA ROSA","Bolívar",13683,"05094"
"SANTA ROSA DEL SUR","Bolívar",13688,"05095"
"SIMITI","Bolívar",13744,"05097"
"SOPLAVIENTO","Bolívar",13760,"05106"
"TALAIGUA NUEVO","Bolívar",13780,"05110"
"TIQUISIO (PTO. RICO)","Bolívar",13810,"05113"
"TURBACO","Bolívar",13836,"05118"
"TURBANA","Bolívar",13838,"05121"
"VILLANUEVA","Bolívar",13873,"05124"
"ZAMBRANO","Bolívar",13894,"05127"
"ALMEIDA","Boyacá",15022,"07007"
"AQUITANIA (PUEBLOVIEJO)","Boyacá",15047,"07008"
"ARCABUCO","Boyacá",15051,"07010"
"BELEN","Boyacá",15087,"07013"
"BERBEO","Boyacá",15090,"07016"
"BETEITIVA","Boyacá",15092,"07019"
"BOAVITA","Boyacá",15097,"07022"
"BOYACA","Boyacá",15104,"07025"
"BRICEÃO","Boyacá",15106,"07028"
"BUENAVISTA","Boyacá",15109,"07031"
"BUSBANZA","Boyacá",15114,"07034"
"CALDAS","Boyacá",15131,"07037"
"CAMPOHERMOSO","Boyacá",15135,"07040"
"CERINZA","Boyacá",15162,"07043"
"CHINAVITA","Boyacá",15172,"07064"
"CHIQUINQUIRA","Boyacá",15176,"07067"
"CHIQUIZA","Boyacá",15232,"07068"
"CHISCAS","Boyacá",15180,"07070"
"CHITA","Boyacá",15183,"07073"
"CHITARAQUE","Boyacá",15185,"07076"
"CHIVATA","Boyacá",15187,"07077"
"CHIVOR","Boyacá",15236,"07078"
"CIENEGA","Boyacá",15189,"07046"
"COMBITA","Boyacá",15204,"07049"
"COPER","Boyacá",15212,"07052"
"CORRALES","Boyacá",15215,"07055"
"COVARACHIA","Boyacá",15218,"07058"
"CUBARA","Boyacá",15223,"07059"
"CUCAITA","Boyacá",15224,"07060"
"CUITIVA","Boyacá",15226,"07061"
"DUITAMA","Boyacá",15238,"07079"
"EL COCUY","Boyacá",15244,"07082"
"EL ESPINO","Boyacá",15248,"07085"
"FIRAVITOBA","Boyacá",15272,"07088"
"FLORESTA","Boyacá",15276,"07091"
"GACHANTIVA","Boyacá",15293,"07094"
"GAMEZA","Boyacá",15296,"07097"
"GARAGOA","Boyacá",15299,"07100"
"GUACAMAYAS","Boyacá",15317,"07103"
"GUATEQUE","Boyacá",15322,"07106"
"GUAYATA","Boyacá",15325,"07109"
"GUICAN","Boyacá",15332,"07112"
"IZA","Boyacá",15362,"07118"
"JENESANO","Boyacá",15367,"07121"
"JERICO","Boyacá",15368,"07124"
"LA CAPILLA","Boyacá",15380,"07130"
"LA UVITA","Boyacá",15403,"07136"
"LA VICTORIA","Boyacá",15401,"07137"
"LABRANZAGRANDE","Boyacá",15377,"07127"
"MACANAL","Boyacá",15425,"07142"
"MARIPI","Boyacá",15442,"07148"
"MIRAFLORES","Boyacá",15455,"07151"
"MONGUA","Boyacá",15464,"07154"
"MONGUI","Boyacá",15466,"07157"
"MONIQUIRA","Boyacá",15469,"07160"
"MOTAVITA","Boyacá",15476,"07161"
"MUZO","Boyacá",15480,"07163"
"NOBSA","Boyacá",15491,"07166"
"NUEVO COLON","Boyacá",15494,"07169"
"OICATA","Boyacá",15500,"07173"
"OTANCHE","Boyacá",15507,"07176"
"PACHAVITA","Boyacá",15511,"07178"
"PAEZ","Boyacá",15514,"07179"
"PAIPA","Boyacá",15516,"07181"
"PAJARITO","Boyacá",15518,"07184"
"PANQUEBA","Boyacá",15522,"07187"
"PAUNA","Boyacá",15531,"07190"
"PAYA","Boyacá",15533,"07193"
"PAZ DE RIO","Boyacá",15537,"07199"
"PESCA","Boyacá",15542,"07202"
"PISBA","Boyacá",15550,"07205"
"PUERTO BOYACA","Boyacá",15572,"07214"
"QUIPAMA","Boyacá",15580,"07215"
"RAMIRIQUI","Boyacá",15599,"07217"
"RAQUIRA","Boyacá",15600,"07220"
"RONDON","Boyacá",15621,"07223"
"SABOYA","Boyacá",15632,"07226"
"SACHICA","Boyacá",15638,"07232"
"SAMACA","Boyacá",15646,"07235"
"SAN EDUARDO","Boyacá",15660,"07237"
"SAN JOSE DE PARE","Boyacá",15664,"07238"
"SAN LUIS DE GACENO","Boyacá",15667,"07241"
"SAN MATEO","Boyacá",15673,"07247"
"SAN MIGUEL DE SEMA","Boyacá",15676,"07248"
"SAN PABLO DE BORBUR","Boyacá",15681,"07249"
"SANTA MARIA","Boyacá",15690,"07251"
"SANTA ROSA DE VITERBO","Boyacá",15693,"07253"
"SANTA SOFIA","Boyacá",15696,"07256"
"SANTANA","Boyacá",15686,"07250"
"SATIVANORTE","Boyacá",15720,"07259"
"SATIVASUR","Boyacá",15723,"07262"
"SIACHOQUE","Boyacá",15740,"07265"
"SOATA","Boyacá",15753,"07268"
"SOCHA","Boyacá",15757,"07274"
"SOCOTA","Boyacá",15755,"07271"
"SOGAMOSO","Boyacá",15759,"07277"
"SOMONDOCO","Boyacá",15761,"07280"
"SORA","Boyacá",15762,"07281"
"SORACA","Boyacá",15764,"07282"
"SOTAQUIRA","Boyacá",15763,"07283"
"SUSACON","Boyacá",15774,"07286"
"SUTAMARCHAN","Boyacá",15776,"07289"
"SUTATENZA","Boyacá",15778,"07292"
"TASCO","Boyacá",15790,"07298"
"TENZA","Boyacá",15798,"07301"
"TIBANA","Boyacá",15804,"07304"
"TIBASOSA","Boyacá",15806,"07307"
"TINJACA","Boyacá",15808,"07310"
"TIPACOQUE","Boyacá",15810,"07311"
"TOCA","Boyacá",15814,"07313"
"TOGUI","Boyacá",15816,"07316"
"TOPAGA","Boyacá",15820,"07319"
"TOTA","Boyacá",15822,"07322"
"TUNJA","Boyacá",15001,"07001"
"TUNUNGUA","Boyacá",15832,"07324"
"TURMEQUE","Boyacá",15835,"07325"
"TUTA","Boyacá",15837,"07328"
"TUTAZA","Boyacá",15839,"07331"
"UMBITA","Boyacá",15842,"07334"
"VENTAQUEMADA","Boyacá",15861,"07337"
"VILLA DE LEIVA","Boyacá",15407,"07139"
"VIRACACHA","Boyacá",15879,"07340"
"ZETAQUIRA","Boyacá",15897,"07346"
"AGUADAS","Caldas",17013,"09004"
"ANSERMA","Caldas",17042,"09007"
"ARANZAZU","Caldas",17050,"09013"
"BELALCAZAR","Caldas",17088,"09022"
"CHINCHINA","Caldas",17174,"09034"
"FILADELFIA","Caldas",17272,"09037"
"LA DORADA","Caldas",17380,"09049"
"LA MERCED","Caldas",17388,"09052"
"MANIZALES","Caldas",17001,"09001"
"MANZANARES","Caldas",17433,"09055"
"MARMATO","Caldas",17442,"09058"
"MARQUETALIA","Caldas",17444,"09061"
"MARULANDA","Caldas",17446,"09067"
"NEIRA","Caldas",17486,"09076"
"NORCASIA","Caldas",17495,"09078"
"PACORA","Caldas",17513,"09079"
"PALESTINA","Caldas",17524,"09082"
"PENSILVANIA","Caldas",17541,"09085"
"RIOSUCIO","Caldas",17614,"09103"
"RISARALDA","Caldas",17616,"09106"
"SALAMINA","Caldas",17653,"09109"
"SAMANA","Caldas",17662,"09115"
"SAN JOSE","Caldas",17665,"09120"
"SUPIA","Caldas",17777,"09124"
"VICTORIA","Caldas",17867,"09127"
"VILLAMARIA","Caldas",17873,"09130"
"VITERBO","Caldas",17877,"09133"
"ALBANIA","Caquetá",18029,"44002"
"BELEN DE LOS ANDAQUIES","Caquetá",18094,"44004"
"CARTAGENA DEL CHAIRA","Caquetá",18150,"44003"
"CURILLO","Caquetá",18205,"44012"
"EL DONCELLO","Caquetá",18247,"44005"
"EL PAUJIL","Caquetá",18256,"44006"
"FLORENCIA","Caquetá",18001,"44001"
"LA MONTAÃITA","Caquetá",18410,"44007"
"MILAN","Caquetá",18460,"44016"
"MORELIA","Caquetá",18479,"44017"
"PUERTO RICO","Caquetá",18592,"44009"
"SAN JOSE DEL FRAGUA","Caquetá",18610,"44020"
"SAN VICENTE DEL CAGUAN","Caquetá",18753,"44010"
"SOLANO","Caquetá",18756,"44022"
"SOLITA","Caquetá",18785,"44024"
"VALPARAISO","Caquetá",18860,"44040"
"AGUAZUL","Casanare",85010,"46040"
"CHAMEZA","Casanare",85015,"46120"
"HATO COROZAL","Casanare",85125,"46320"
"LA SALINA","Casanare",85136,"46480"
"MANI","Casanare",85139,"46520"
"MONTERREY","Casanare",85162,"46540"
"NUNCHIA","Casanare",85225,"46560"
"OROCUE","Casanare",85230,"46640"
"PAZ DE ARIPORO (MORENO)","Casanare",85250,"46680"
"PORE","Casanare",85263,"46700"
"RECETOR","Casanare",85279,"46760"
"SABANALARGA","Casanare",85300,"46800"
"SACAMA","Casanare",85315,"46815"
"SAN LUIS DE PALENQUE","Casanare",85325,"46830"
"TAMARA","Casanare",85400,"46840"
"TAURAMENA","Casanare",85410,"46850"
"TRINIDAD","Casanare",85430,"46865"
"VILLANUEVA","Casanare",85440,"46880"
"YOPAL","Casanare",85001,"46001"
"ALMAGUER","Cauca",19022,"11004"
"ARGELIA","Cauca",19050,"11005"
"BALBOA","Cauca",19075,"11006"
"BOLIVAR","Cauca",19100,"11007"
"BUENOS AIRES","Cauca",19110,"11010"
"CAJIBIO","Cauca",19130,"11013"
"CALDONO","Cauca",19137,"11016"
"CALOTO","Cauca",19142,"11019"
"CORINTO","Cauca",19212,"11022"
"EL TAMBO","Cauca",19256,"11025"
"FLORENCIA","Cauca",19290,"11027"
"GUACHENE","Cauca",19300,"11029"
"GUAPI","Cauca",19318,"11028"
"INZA","Cauca",19355,"11031"
"JAMBALO","Cauca",19364,"11034"
"LA SIERRA","Cauca",19392,"11037"
"LA VEGA","Cauca",19397,"11040"
"LOPEZ (MICAY)","Cauca",19418,"11043"
"MERCADERES","Cauca",19450,"11046"
"MIRANDA","Cauca",19455,"11049"
"MORALES","Cauca",19473,"11052"
"PADILLA","Cauca",19513,"11053"
"PAEZ (BELALCAZAR)","Cauca",19517,"11055"
"PATIA (EL BORDO)","Cauca",19532,"11058"
"PIAMONTE","Cauca",19533,"11060"
"PIENDAMO","Cauca",19548,"11061"
"POPAYAN","Cauca",19001,"11001"
"PUERTO TEJADA","Cauca",19573,"11064"
"PURACE (COCONUCO)","Cauca",19585,"11067"
"ROSAS","Cauca",19622,"11070"
"SAN SEBASTIAN","Cauca",19693,"11073"
"SANTA ROSA","Cauca",19701,"11079"
"SANTANDER DE QUILICHAO","Cauca",19698,"11076"
"SILVIA","Cauca",19743,"11082"
"SOTARA (PAISPAMBA)","Cauca",19760,"11085"
"SUAREZ","Cauca",19780,"11087"
"SUCRE","Cauca",19785,"11086"
"TIMBIO","Cauca",19807,"11088"
"TIMBIQUI","Cauca",19809,"11091"
"TORIBIO","Cauca",19821,"11094"
"TOTORO","Cauca",19824,"11097"
"VILLA RICA","Cauca",19845,"11098"
"AGUACHICA","Cesar",20011,"12075"
"AGUSTIN CODAZZI","Cesar",20013,"12150"
"ASTREA","Cesar",20032,"12170"
"BECERRIL","Cesar",20045,"12180"
"BOSCONIA","Cesar",20060,"12200"
"CHIMICHAGUA","Cesar",20175,"12300"
"CHIRIGUANA","Cesar",20178,"12375"
"CURUMANI","Cesar",20228,"12225"
"EL COPEY","Cesar",20238,"12410"
"EL PASO","Cesar",20250,"12415"
"GAMARRA","Cesar",20295,"12450"
"GONZALEZ","Cesar",20310,"12525"
"LA GLORIA","Cesar",20383,"12600"
"LA JAGUA DE IBIRICO","Cesar",20400,"12608"
"LA PAZ","Cesar",20621,"12825"
"MANAURE BALCON DEL CESAR (MANA","Cesar",20443,"12625"
"PAILITAS","Cesar",20517,"12650"
"PELAYA","Cesar",20550,"12700"
"PUEBLO BELLO","Cesar",20570,"12720"
"RIO DE ORO","Cesar",20614,"12750"
