"dane","municipio","departamento","potencial","total","senado.nal","senado.ind","blancos","sin.marcar","nulos","abstencion","CAMBIO RADICAL","CDMFCG","CONSERVADORES","LA U","LIBERALES","MIRA","PDA","POC","VERDES","validos"
91263,"EL ENCANTO","Amazonas",734,408,322,29,0,26,31,44.4141689373297," 16","  3","  2"," 21"," 25","  1","  0"," 10","244",351
91405,"LA CHORRERA","Amazonas",1018,648,153,392,0,62,41,36.3457760314342," 8","17"," 4"," 5","23"," 0"," 3"," 4","89",545
91407,"LA PEDRERA","Amazonas",963,469,361,13,12,80,15,51.2980269989616," 24","  9","  6"," 55"," 39","  0"," 22","  5","189",386
91430,"LA VICTORIA","Amazonas",24,6,6,0,0,0,0,75,"0","1","0","1","1","0","1","0","2",6
91001,"LETICIA","Amazonas",31137,16188,12397,775,754,1898,1118,48.0104056267463," 965","3389"," 607","1444","1339"," 246"," 815"," 635","2203",13926
91460,"MIRITI PARANA","Amazonas",437,117,98,2,6,11,6,73.2265446224256," 3"," 1"," 2"," 8","20"," 0"," 1"," 0","57",106
91530,"PUERTO ALEGRIA","Amazonas",265,120,82,25,1,9,4,54.7169811320755," 5"," 1"," 1"," 5"," 5"," 0"," 0"," 0","64",108
91536,"PUERTO ARICA","Amazonas",401,202,69,89,2,37,7,49.6259351620948,"10"," 2"," 5","14","11"," 0"," 2"," 4","19",160
91540,"PUERTO NARIÃO","Amazonas",4022,2592,1394,366,60,716,116,35.5544505221283," 88","129"," 41","372","146","  5","181","113","259",1820
91669,"PUERTO SANTANDER","Amazonas",624,243,137,79,7,16,11,61.0576923076923,"20","13","15"," 4","11"," 0"," 1","16","50",223
91798,"TARAPACA","Amazonas",1258,666,352,85,7,188,41,47.0588235294118,"62","64","31","18","85"," 3"," 3","24","55",444
5002,"ABEJORRAL","Antioquia",14933,5460,4235,49,100,688,488,63.4366838545503,"  54","1764","1062"," 275"," 839","   5","  94","  14","  28",4384
5004,"ABRIAQUI","Antioquia",1909,846,734,2,8,80,30,55.683603981142," 26","106","494"," 39"," 46","  1","  5","  3","  6",744
5021,"ALEJANDRIA","Antioquia",4350,2030,1720,10,45,199,101,53.3333333333333,"  13"," 131","1004","  93"," 386","   5","  14","  11","  18",1775
5030,"AMAGA","Antioquia",20732,7632,6097,142,355,628,765,63.1873432375072," 215","1441"," 675","2352"," 553","  60"," 253","  63"," 130",6594
5031,"AMALFI","Antioquia",15434,3306,2506,78,186,436,286,78.5797589736944," 76","765","345","321","489","113","127"," 45"," 39",2770
5034,"ANDES","Antioquia",32870,14736,12084,181,413,1540,931,55.1688469729236," 126","3589","3214","3558"," 450","  84"," 483","  87","  80",12678
5036,"ANGELOPOLIS","Antioquia",5461,2278,1848,33,72,197,200,58.2860281999634," 89","354","605","344","322","  8"," 39","  2"," 13",1953
5038,"ANGOSTURA","Antioquia",8565,3276,2174,54,94,668,380,61.7513134851138,"  30"," 192","1490"," 216","  46","   7","  51","   8","  40",2322
5040,"ANORI","Antioquia",10171,1855,1398,27,90,309,121,81.7618719889883," 23","274","182"," 79","647","  8"," 34","  7"," 54",1515
5042,"ANTIOQUIA","Antioquia",18231,6631,5086,91,352,861,593,63.6278865668367," 110","1273"," 603","1710"," 603","  22"," 282","  49","  82",5529
5044,"ANZA","Antioquia",5265,2069,1582,19,40,307,161,60.7027540360874," 48","380","252","458","330"," 36"," 20"," 10","  8",1641
5045,"APARTADO","Antioquia",80991,28908,21828,1065,1795,2149,3866,64.3071452383598,"1468","5179","1957","5314","3289","1021"," 895"," 343"," 567",24688
5051,"ARBOLETES","Antioquia",21333,10149,7885,110,93,1002,1152,52.4258191534243," 270"," 450","1901","3671"," 634","  26"," 109"," 663","  68",8088
5055,"ARGELIA","Antioquia",6481,2387,1896,18,42,313,160,63.1692640024688,"   9","1051"," 349"," 294","  67","   2","  19","  53","  10",1956
5059,"ARMENIA","Antioquia",4835,1844,1372,7,45,251,214,61.8614270941055," 19","262","336"," 23","645","  3"," 29","  7","  3",1424
5079,"BARBOSA","Antioquia",35281,14445,11821,213,666,1018,1393,59.0572829568323," 511","2664","2362","1616","3199","  76"," 415","  62"," 250",12700
5088,"BELLO","Antioquia",294886,107642,85176,2345,8222,5452,14669,63.4970802276134," 3340","22609","23616"," 5591","10748"," 1853"," 5236","  671"," 3290",95743
5086,"BELMIRA","Antioquia",4453,2095,1830,29,39,111,125,52.9530653492028," 36","168","674"," 16","866","  5"," 16","  3","  7",1898
5091,"BETANIA","Antioquia",8224,3335,2518,23,64,404,390,59.4479571984436," 38","748","529"," 82","985"," 13"," 34"," 14"," 11",2605
5093,"BETULIA","Antioquia",12747,4657,3405,36,85,784,432,63.4659135482859,"  90","1603"," 520"," 189"," 785","   9","  43","   4","  77",3526
5101,"BOLIVAR","Antioquia",23137,7816,5890,211,396,810,905,66.2186108830012," 329","2463","1220"," 476"," 674","  57"," 149","  56","  70",6497
5107,"BRICEÃO","Antioquia",5817,1489,1166,20,32,221,82,74.4026130307719," 16"," 59","595"," 15","422","  6"," 10","  6","  5",1218
5113,"BURITICA","Antioquia",6407,1996,1476,28,44,278,214,68.8465740596223," 20","258","529","207","359","  3"," 37","  5"," 14",1548
5120,"CACERES","Antioquia",19096,7300,5388,103,109,1008,801,61.7720988688731," 646"," 171"," 441","1337","2358","  13","  74","  78"," 161",5600
5125,"CAICEDO","Antioquia",5766,2000,1474,11,45,349,166,65.3139091224419," 37","435","124","270","522","  6"," 19","  8","  8",1530
5129,"CALDAS","Antioquia",55671,24076,17952,745,1975,1509,3870,56.7530671265111,"1433","4376","2599","3745","1666"," 645"," 958","  90"," 465",20672
5134,"CAMPAMENTO","Antioquia",5899,1780,1438,22,24,167,153,69.8253941345991," 24"," 89","571"," 41","642","  3"," 26","  4"," 14",1484
5138,"CAÃASGORDAS","Antioquia",12623,6662,5721,36,112,589,316,47.2233225065357,"  33","1400","3533","  82"," 435","  11","  61","  18","  36",5869
5142,"CARACOLI","Antioquia",4633,1578,1340,13,32,115,110,65.9399956831427," 61","262","791"," 46"," 32"," 12"," 13","  1"," 90",1385
5145,"CARAMANTA","Antioquia",5145,1947,1437,21,30,250,239,62.1574344023324," 37","407","277","108","514"," 14"," 28","  6"," 16",1488
5147,"CAREPA","Antioquia",38195,14007,10037,363,572,2010,1597,63.3276606885718," 792","1769","1071","1971","2101","1027"," 148"," 421"," 165",10972
5148,"CARMEN DE VIBORAL","Antioquia",30320,15264,12210,336,1012,1103,1615,49.6569920844327," 659","3488","1296","3169"," 857"," 285"," 802"," 256"," 386",13558
5150,"CAROLINA","Antioquia",4048,1309,1060,17,67,104,128,67.6630434782609,"128","215","330"," 25","226","  1"," 39","  3"," 26",1144
5154,"CAUCASIA","Antioquia",60360,26202,20746,415,1098,2201,2840,56.5904572564612,"1278","2302","2488","8298","3074"," 285","1149"," 380"," 394",22259
5172,"CHIGORODO","Antioquia",41194,14548,10891,450,639,1643,1564,64.6841773073749," 619","1601","1276","4055","1838"," 339"," 290","  94"," 140",11980
5190,"CISNEROS","Antioquia",11045,4399,3601,40,162,346,412,60.1720235400634," 109"," 392","1489"," 214","1038","  23"," 111","  19","  44",3803
5197,"COCORNA","Antioquia",12245,5441,4445,36,77,635,325,55.5655369538587,"  35","1147","2818","  83","  85","  27"," 127","  23","  23",4558
5206,"CONCEPCION","Antioquia",4481,1737,1407,20,62,200,110,61.2363311760768," 22","455","418"," 39","338","  5"," 23","  7"," 38",1489
5209,"CONCORDIA","Antioquia",15301,5313,4043,51,147,650,569,65.2767792954709," 142","2094"," 337"," 365"," 801","  20","  96","   9","  32",4241
5212,"COPACABANA","Antioquia",55600,22681,17827,554,1747,1139,3161,59.2068345323741,"1166","4663","2386","2380","3192"," 217","1396"," 129"," 551",20128
5234,"DABEIBA","Antioquia",15736,4856,3611,70,88,661,514,69.1408235892222,"547","470","916","460","955"," 18"," 48"," 19"," 90",3769
5237,"DON MATIAS","Antioquia",15597,6557,5320,98,285,485,654,57.959864076425,"  55","2075","2327"," 118"," 221","  18"," 109","  25","  87",5703
5240,"EBEJICO","Antioquia",11064,3833,3128,30,101,390,285,65.3561099060014,"  57"," 860"," 740","  90","1154","   8","  42","   7","  69",3259
5250,"EL BAGRE","Antioquia",32887,12566,9453,230,360,1289,1594,61.7903730957521," 723"," 957","4161","1537","1072"," 120"," 185"," 145"," 193",10043
5264,"ENTRERRIOS","Antioquia",7457,2611,2210,42,153,170,189,64.9859192704841," 26","655","400"," 50","840","  4"," 53","  2"," 27",2405
5266,"ENVIGADO","Antioquia",223949,94300,77089,2204,7944,3329,11678,57.892198670233," 5142","34495"," 8529"," 4443"," 7922"," 1177"," 4526","  412"," 2499",87237
5282,"FREDONIA","Antioquia",17675,6446,5332,102,258,519,493,63.5304101838755," 155","1061","2116"," 498"," 872","  26"," 197","  63","  86",5692
5284,"FRONTINO","Antioquia",16087,4255,3162,119,180,536,438,73.5500714862933," 114"," 432"," 602"," 393","1257","  15","  62","  23","  84",3461
5306,"GIRALDO","Antioquia",3633,1706,1426,21,35,139,120,53.0415634461877," 17","322","512","130","332","  2"," 57"," 13","  6",1482
5308,"GIRARDOTA","Antioquia",42330,16031,12531,334,1252,869,2297,62.1285140562249," 321","2704","2963","2616","1428"," 132"," 721","  55"," 339",14117
5310,"GOMEZ PLATA","Antioquia",7895,2671,2096,52,143,226,297,66.1684610512983," 35","294","490","397","597","  9"," 36"," 15"," 80",2291
5313,"GRANADA","Antioquia",9967,3091,2183,38,90,534,336,68.9876592756095," 56","741","802","232","119"," 10","104","  6"," 23",2311
