"dane","mun","dep","pot","tot","sen","senind","bl","sinmarca","nul","abs","cr","cd","pc","lu","pl","mi","pd","po","pv","val","totconb","gan"
32,"ARGENTINA","Consulados",4511,621,601,20,29,0,0,85.5907780979827,28,90,36,44,52,74,155,1,92,650,650,"polo"
36,"AUSTRALIA","Consulados",3240,417,382,2,63,0,33,85.1851851851852,26,92,18,13,66,14,38,1,51,447,480,"centro.democratico"
40,"AUSTRIA","Consulados",492,107,97,5,10,0,5,76.219512195122,1,11,4,9,7,17,19,0,19,112,117,"Empate"
56,"BELGICA","Consulados",1406,256,226,13,13,2,15,80.8677098150782,9,46,7,12,23,8,56,0,52,252,269,"polo"
68,"BOLIVIA","Consulados",679,83,71,0,4,0,12,87.1870397643594,4,18,4,12,2,23,1,0,3,75,87,"mira"
76,"BRASIL","Consulados",1679,557,543,6,14,0,8,65.9916617033949,13,19,283,135,5,2,24,38,10,563,571,"conservador"
124,"CANADA","Consulados",15143,2187,1943,25,122,25,194,84.7520306412204,80,592,75,144,147,298,242,19,224,2090,2309,"centro.democratico"
152,"CHILE","Consulados",4151,703,637,9,48,4,53,81.907973982173,40,104,33,50,32,231,46,6,47,694,751,"mira"
156,"CHINA REPUBLICA POPULAR","Consulados",404,101,92,2,7,0,7,73.2673267326733,8,17,5,4,14,5,15,0,17,101,108,"Empate"
188,"COSTA RICA","Consulados",7524,926,823,7,20,6,90,87.4269005847953,26,289,61,59,44,242,30,2,50,850,946,"centro.democratico"
192,"CUBA","Consulados",207,13,13,0,0,0,0,93.719806763285,1,1,0,0,3,0,3,0,5,13,13,"verdes"
196,"CHIPRE","Consulados",27,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,"Empate"
208,"DINAMARCA","Consulados",46,19,17,0,1,1,1,56.5217391304348,0,2,0,0,1,7,2,0,4,18,20,"mira"
214,"REPUBLICA DOMINICANA","Consulados",1726,247,223,1,15,6,17,84.8203939745075,12,71,13,26,8,60,7,4,7,239,262,"centro.democratico"
218,"ECUADOR","Consulados",21439,3303,2859,44,76,100,300,84.2390036848734,210,366,298,510,121,1095,83,5,95,2979,3379,"mira"
222,"EL SALVADOR","Consulados",466,116,111,4,4,0,1,74.2489270386266,6,55,6,18,7,0,4,0,11,119,120,"centro.democratico"
246,"FINLANDIA","Consulados",45,19,17,1,1,0,1,55.5555555555556,0,2,1,1,0,1,6,0,5,19,20,"polo"
250,"FRANCIA","Consulados",6812,772,705,22,7,5,40,88.5642982971227,31,79,24,40,42,118,196,7,161,734,779,"polo"
276,"ALEMANIA","Consulados",2727,481,461,6,13,0,14,81.8848551521819,17,28,114,136,17,9,55,19,53,480,494,"la.u"
300,"GRECIA","Consulados",45,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,"Empate"
320,"GUATEMALA","Consulados",708,115,102,2,6,0,11,82.909604519774,5,60,1,11,7,2,4,0,6,110,121,"centro.democratico"
340,"HONDURAS","Consulados",440,42,38,0,2,0,4,90,3,22,0,2,8,1,0,0,0,40,44,"centro.democratico"
356,"INDIA","Consulados",85,14,13,0,2,0,1,81.1764705882353,0,1,1,0,1,1,1,1,5,15,16,"verdes"
360,"INDONESIA","Consulados",184,60,52,1,1,0,7,66.8478260869565,5,19,0,6,8,0,3,0,10,54,61,"centro.democratico"
372,"IRLANDA","Consulados",87,33,26,7,0,0,0,62.0689655172414,0,6,5,3,0,1,4,0,7,33,33,"verdes"
376,"ISRAEL","Consulados",762,55,51,2,3,0,2,92.3884514435696,0,17,6,2,5,9,5,0,4,56,58,"centro.democratico"
380,"ITALIA","Consulados",4846,372,334,11,28,2,25,91.7457697069748,15,55,25,36,34,43,43,11,44,373,400,"centro.democratico"
388,"JAMAICA","Consulados",204,15,14,0,0,0,1,92.6470588235294,1,3,0,4,6,0,0,0,0,14,15,"liberal"
392,"JAPON","Consulados",809,47,46,0,6,0,1,93.4487021013597,3,12,2,6,2,1,4,2,8,52,53,"centro.democratico"
404,"KENIA","Consulados",66,50,50,0,0,0,0,24.2424242424242,0,0,8,31,0,0,0,11,0,50,50,"la.u"
410,"COREA DEL SUR","Consulados",99,18,18,0,0,0,0,81.8181818181818,5,2,3,2,0,0,4,0,2,18,18,"cambio.radical"
422,"LIBANO","Consulados",665,100,93,0,1,0,7,84.812030075188,31,18,6,19,16,0,1,0,1,94,101,"cambio.radical"
458,"MALASIA","Consulados",92,21,20,0,2,0,1,75,1,10,4,0,1,0,1,0,1,22,23,"centro.democratico"
484,"MEXICO","Consulados",3876,571,512,6,34,0,53,84.391124871001,20,144,21,49,39,71,76,7,51,552,605,"centro.democratico"
504,"MARRUECOS","Consulados",17,4,3,1,1,0,0,70.5882352941177,1,0,0,0,0,0,1,0,0,5,5,"Empate"
528,"HOLANDA","Consulados",1503,179,174,3,6,1,1,87.6912840984697,4,22,10,7,17,62,13,0,33,183,185,"mira"
533,"ARUBA","Consulados",2964,364,318,7,16,8,31,87.1794871794872,27,138,11,32,16,53,11,2,12,341,380,"centro.democratico"
554,"NUEVA ZELANDIA","Consulados",138,61,54,2,16,0,5,44.2028985507246,3,5,4,3,10,0,2,0,11,72,77,"verdes"
558,"NICARAGUA","Consulados",229,54,48,0,1,0,6,75.9825327510917,5,15,3,7,4,2,3,0,8,49,55,"centro.democratico"
578,"NORUEGA","Consulados",104,21,21,0,1,0,0,78.8461538461538,1,0,0,1,2,3,4,0,9,22,22,"verdes"
591,"PANAMA","Consulados",10542,861,780,10,30,9,62,91.548093340922,48,284,106,112,40,109,21,6,24,820,891,"centro.democratico"
600,"PARAGUAY","Consulados",259,59,53,1,1,0,5,76.8339768339768,4,17,3,14,2,5,3,1,3,55,60,"centro.democratico"
604,"PERU","Consulados",2472,525,444,6,28,1,74,77.6294498381877,24,149,24,52,39,58,22,9,39,478,553,"centro.democratico"
608,"FILIPINAS","Consulados",53,4,4,0,0,0,0,92.4528301886792,0,4,0,0,0,0,0,0,0,4,4,"centro.democratico"
616,"POLONIA","Consulados",96,25,25,0,1,0,0,72.9166666666667,0,10,1,3,1,1,3,1,4,26,26,"centro.democratico"
620,"PORTUGAL","Consulados",326,52,46,1,5,0,5,82.5153374233129,12,9,3,4,4,1,4,0,4,52,57,"cambio.radical"
630,"PUERTO RICO","Consulados",1226,315,310,1,3,0,4,74.0619902120718,0,9,140,106,1,5,30,1,15,314,318,"conservador"
643,"RUSIA","Consulados",255,29,27,1,3,0,1,87.4509803921569,0,3,0,2,2,1,11,0,5,31,32,"polo"
710,"SUDAFRICA","Consulados",194,49,40,1,5,0,8,72.1649484536082,3,16,1,6,0,2,1,0,6,46,54,"centro.democratico"
724,"ESPAÃA","Consulados",83385,7933,7246,136,339,149,402,90.0797505546561,175,449,319,531,318,4246,321,59,489,7721,8272,"mira"
752,"SUECIA","Consulados",1065,164,147,1,6,2,14,84.037558685446,6,16,5,10,10,41,23,0,30,154,170,"mira"
756,"SUIZA","Consulados",2442,325,297,9,21,1,18,85.8312858312858,12,59,13,15,12,61,48,2,54,327,346,"mira"
764,"TAILANDIA","Consulados",51,25,24,0,2,0,1,47.0588235294118,0,5,1,3,5,0,2,0,6,26,27,"verdes"
780,"TRINIDAD Y TOBAGO","Consulados",53,29,29,0,1,0,0,43.3962264150943,1,12,0,5,7,0,1,0,2,30,30,"centro.democratico"
784,"EMIRATOS ARABES UNIDOS","Consulados",566,248,201,13,19,2,32,52.8268551236749,7,32,14,89,6,9,14,1,10,233,267,"la.u"
792,"TURQUIA","Consulados",70,32,27,4,0,0,1,54.2857142857143,2,11,2,5,2,1,1,0,3,31,32,"centro.democratico"
818,"EGIPTO","Consulados",106,12,11,0,1,0,1,87.7358490566038,0,0,0,4,1,0,4,0,1,12,13,"Empate"
826,"INGLATERRA","Consulados",8919,1034,909,13,66,20,92,87.6667787868595,32,157,44,62,58,256,110,11,113,988,1100,"mira"
840,"ESTADOS UNIDOS","Consulados",190780,10567,9470,104,237,148,845,94.3369325925149,289,4161,446,948,568,1944,355,54,468,9811,10804,"centro.democratico"
858,"URUGUAY","Consulados",389,74,74,0,9,0,0,78.6632390745501,0,9,2,7,8,18,10,1,10,83,83,"mira"
862,"VENEZUELA","Consulados",176171,13553,11543,110,147,760,1140,92.2234647019089,932,2201,1530,2660,1674,1242,450,145,562,11800,13700,"la.u"
5001,"Medellín","Antioquia",1407617,585384,473440,12790,43376,23490,75664,55.3315994336528,17392,204467,55562,34000,53344,9928,32985,3619,18767,529606,628760,"centro.democratico"
5002,"Abejorral","Antioquia",14933,5460,4235,49,100,688,488,62.7670260496886,54,1764,1062,275,839,5,94,14,28,4384,5560,"centro.democratico"
5004,"Abriaquí","Antioquia",1909,846,734,2,8,80,30,55.2645364064955,26,106,494,39,46,1,5,3,6,744,854,"conservador"
5021,"Alejandría","Antioquia",4350,2030,1720,10,45,199,101,52.2988505747126,13,131,1004,93,386,5,14,11,18,1775,2075,"conservador"
5030,"Amagá","Antioquia",20732,7632,6097,142,355,628,765,61.4750144703839,215,1441,675,2352,553,60,253,63,130,6594,7987,"la.u"
5031,"Amalfi","Antioquia",15434,3306,2506,78,186,436,286,77.3746274458987,76,765,345,321,489,113,127,45,39,2770,3492,"centro.democratico"
5034,"Andes","Antioquia",32870,14736,12084,181,413,1540,931,53.9123821113477,126,3589,3214,3558,450,84,483,87,80,12678,15149,"centro.democratico"
5036,"Angelópolis","Antioquia",5461,2278,1848,33,72,197,200,56.9675883537814,89,354,605,344,322,8,39,2,13,1953,2350,"conservador"
5038,"Angostura","Antioquia",8565,3276,2174,54,94,668,380,60.6538237011092,30,192,1490,216,46,7,51,8,40,2322,3370,"conservador"
5040,"Anorí","Antioquia",10171,1855,1398,27,90,309,121,80.8770032445187,23,274,182,79,647,8,34,7,54,1515,1945,"liberal"
5042,"Santafé de Antioquia","Antioquia",18231,6631,5086,91,352,861,593,61.6971093192913,110,1273,603,1710,603,22,282,49,82,5529,6983,"la.u"
5044,"Anza","Antioquia",5265,2069,1582,19,40,307,161,59.9430199430199,48,380,252,458,330,36,20,10,8,1641,2109,"la.u"
5045,"Apartadó","Antioquia",80991,28908,21828,1065,1795,2149,3866,62.0908496005729,1468,5179,1957,5314,3289,1021,895,343,567,24688,30703,"la.u"
5051,"Arboletes","Antioquia",21333,10149,7885,110,93,1002,1152,51.9898748417944,270,450,1901,3671,634,26,109,663,68,8088,10242,"la.u"
5055,"Argelia","Antioquia",6481,2387,1896,18,42,313,160,62.5212158617497,9,1051,349,294,67,2,19,53,10,1956,2429,"centro.democratico"
5059,"Armenia","Antioquia",4835,1844,1372,7,45,251,214,60.9307135470527,19,262,336,23,645,3,29,7,3,1424,1889,"liberal"
5079,"Barbosa","Antioquia",35281,14445,11821,213,666,1018,1393,57.1695813610725,511,2664,2362,1616,3199,76,415,62,250,12700,15111,"liberal"
5086,"Belmira","Antioquia",4453,2095,1830,29,39,111,125,52.0772512912643,36,168,674,16,866,5,16,3,7,1898,2134,"liberal"
5088,"Bello","Antioquia",294886,107642,85176,2345,8222,5452,14669,60.708884111148,3340,22609,23616,5591,10748,1853,5236,671,3290,95743,115864,"conservador"
5091,"Betania","Antioquia",8224,3335,2518,23,64,404,390,58.6697470817121,38,748,529,82,985,13,34,14,11,2605,3399,"liberal"
5093,"Betulia","Antioquia",12747,4657,3405,36,85,784,432,62.7990899819565,90,1603,520,189,785,9,43,4,77,3526,4742,"centro.democratico"
5101,"Ciudad Bolívar","Antioquia",23137,7816,5890,211,396,810,905,64.5070666032761,329,2463,1220,476,674,57,149,56,70,6497,8212,"centro.democratico"
5107,"Briceño","Antioquia",5817,1489,1166,20,32,221,82,73.8525012893244,16,59,595,15,422,6,10,6,5,1218,1521,"conservador"
5113,"Buriticá","Antioquia",6407,1996,1476,28,44,278,214,68.1598251911971,20,258,529,207,359,3,37,5,14,1548,2040,"conservador"
5120,"Cáceres","Antioquia",19096,7300,5388,103,109,1008,801,61.2012987012987,646,171,441,1337,2358,13,74,78,161,5600,7409,"liberal"
5125,"Caicedo","Antioquia",5766,2000,1474,11,45,349,166,64.5334720776968,37,435,124,270,522,6,19,8,8,1530,2045,"liberal"
5129,"Caldas","Antioquia",55671,24076,17952,745,1975,1509,3870,53.2054390975553,1433,4376,2599,3745,1666,645,958,90,465,20672,26051,"centro.democratico"
5134,"Campamento","Antioquia",5899,1780,1438,22,24,167,153,69.4185455161892,24,89,571,41,642,3,26,4,14,1484,1804,"liberal"
5138,"Cañasgordas","Antioquia",12623,6662,5721,36,112,589,316,46.3360532361562,33,1400,3533,82,435,11,61,18,36,5869,6774,"conservador"
5142,"Caracolí","Antioquia",4633,1578,1340,13,32,115,110,65.2492985106842,61,262,791,46,32,12,13,1,90,1385,1610,"conservador"
5145,"Caramanta","Antioquia",5145,1947,1437,21,30,250,239,61.5743440233236,37,407,277,108,514,14,28,6,16,1488,1977,"liberal"
